# 012_submit_C3v2b  host=g0381  start=Wed Sep  2 08:11:23 UTC 2026  timeout=1800s
# HEAD=363b288d
# ---------------------------------------------------------
Submitted batch job 33403
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33352_40 voltagepa C3v2_emi  yarin.b  R       5:24      1 g0376
           33403_0 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0381
           33403_1 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0381
           33403_2 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0377
           33403_3 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0377
           33403_4 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0378
           33403_5 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0378
           33403_6 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0378
           33403_7 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0378
           33403_8 voltagepa C3v2b_ba  yarin.b  R       0:04      1 g0375
             33315 voltagepa AGENT_ru  yarin.b  R    4:05:20      1 g0381
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 08:11:28 UTC 2026
