# 013_submit_ladder_and_spread  host=g0381  start=Wed Sep  2 12:44:04 UTC 2026  timeout=1800s
# HEAD=2c42f701
# ---------------------------------------------------------
Submitted batch job 33433
Submitted batch job 33434
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           33434_0 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0378
           33433_1 voltagepa C4_ladde  yarin.b  R       0:04      1 g0381
           33433_2 voltagepa C4_ladde  yarin.b  R       0:04      1 g0377
           33433_3 voltagepa C4_ladde  yarin.b  R       0:04      1 g0377
           33433_4 voltagepa C4_ladde  yarin.b  R       0:04      1 g0378
           33433_5 voltagepa C4_ladde  yarin.b  R       0:04      1 g0378
           33434_1 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0378
           33434_2 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0376
           33434_3 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0376
           33434_4 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0376
           33434_5 voltagepa C3v2c_sp  yarin.b  R       0:04      1 g0376
           33433_0 voltagepa C4_ladde  yarin.b  R       0:05      1 g0381
             33315 voltagepa AGENT_ru  yarin.b  R    8:38:01      1 g0381
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 12:44:09 UTC 2026
