# 015_submit_head_ladder  host=g0381  start=Wed Sep  2 14:19:33 UTC 2026  timeout=1800s
# HEAD=ae4114b3
# ---------------------------------------------------------
Submitted batch job 33475
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      33475_[6-35] voltagepa C5_headl  yarin.b PD       0:00      1 (Resources)
       33445_[0-5] voltagepa C4_ladde  yarin.b PD       0:00      1 (Dependency)
           33475_1 voltagepa C5_headl  yarin.b  R       0:04      1 g0377
           33475_2 voltagepa C5_headl  yarin.b  R       0:04      1 g0376
           33475_3 voltagepa C5_headl  yarin.b  R       0:04      1 g0376
           33475_4 voltagepa C5_headl  yarin.b  R       0:04      1 g0376
           33475_5 voltagepa C5_headl  yarin.b  R       0:04      1 g0376
           33475_0 voltagepa C5_headl  yarin.b  R       0:05      1 g0377
           33433_5 voltagepa C4_ladde  yarin.b  R    1:35:33      1 g0378
             33315 voltagepa AGENT_ru  yarin.b  R   10:13:30      1 g0381
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 14:19:38 UTC 2026
