# 016_save_heads  host=g0381  start=Wed Sep  2 14:48:09 UTC 2026  timeout=1800s
# HEAD=72c5bfa0
# ---------------------------------------------------------
Submitted batch job 33523
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          33475_35 voltagepa C5_headl  yarin.b  R       5:08      1 g0377
           33523_1 voltagepa C5b_head  yarin.b  R       0:04      1 g0376
           33523_2 voltagepa C5b_head  yarin.b  R       0:04      1 g0376
           33523_0 voltagepa C5b_head  yarin.b  R       0:05      1 g0377
           33445_0 voltagepa C4_ladde  yarin.b  R      27:38      1 g0375
           33445_1 voltagepa C4_ladde  yarin.b  R      27:38      1 g0375
           33445_2 voltagepa C4_ladde  yarin.b  R      27:38      1 g0381
           33445_3 voltagepa C4_ladde  yarin.b  R      27:38      1 g0381
           33445_4 voltagepa C4_ladde  yarin.b  R      27:38      1 g0378
           33445_5 voltagepa C4_ladde  yarin.b  R      27:38      1 g0378
             33315 voltagepa AGENT_ru  yarin.b  R   10:42:06      1 g0381
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 14:48:14 UTC 2026
