# 020_submit_hsic  host=g0381  start=Wed Sep  2 15:23:35 UTC 2026  timeout=1800s
# HEAD=4520198d
# ---------------------------------------------------------
Submitted batch job 33529
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      33529_[6-17] voltagepa  C6_hsic  yarin.b PD       0:00      1 (Resources)
           33529_1 voltagepa  C6_hsic  yarin.b  R       0:04      1 g0377
           33529_2 voltagepa  C6_hsic  yarin.b  R       0:04      1 g0376
           33529_3 voltagepa  C6_hsic  yarin.b  R       0:04      1 g0376
           33529_4 voltagepa  C6_hsic  yarin.b  R       0:04      1 g0376
           33529_5 voltagepa  C6_hsic  yarin.b  R       0:04      1 g0376
           33529_0 voltagepa  C6_hsic  yarin.b  R       0:05      1 g0377
           33445_2 voltagepa C4_ladde  yarin.b  R    1:03:04      1 g0381
           33445_3 voltagepa C4_ladde  yarin.b  R    1:03:04      1 g0381
           33445_4 voltagepa C4_ladde  yarin.b  R    1:03:04      1 g0378
           33445_5 voltagepa C4_ladde  yarin.b  R    1:03:04      1 g0378
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 15:23:40 UTC 2026
