# 031_submit_hybrid  host=g0375  start=Thu Sep  3 09:24:05 UTC 2026  timeout=1800s
# HEAD=25a08f5e
# ---------------------------------------------------------
C15 array: 33796
C16 array: 33797
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      33674_[5-65] voltagepa   C13_s3  yarin.b PD       0:00      1 (Resources)
       33796_[0-7] voltagepa  C15_hyb  yarin.b PD       0:00      1 (Priority)
      33784_[7-31] voltagepa C14_repr  yarin.b PD       0:00      1 (Priority)
       33797_[0-7] voltagepa C16_prob  yarin.b PD       0:00      1 (Dependency)
       33642_[0-7] voltagepa C8_ssl_p  yarin.b PD       0:00      1 (DependencyNeverSatisfied)
           33674_4 voltagepa   C13_s3  yarin.b  R       0:38      1 g0381
           33674_3 voltagepa   C13_s3  yarin.b  R      12:39      1 g0378
           33674_2 voltagepa   C13_s3  yarin.b  R      44:10      1 g0381
           33674_0 voltagepa   C13_s3  yarin.b  R    1:39:44      1 g0381
           33784_0 voltagepa C14_repr  yarin.b  R      31:10      1 g0376
           33784_1 voltagepa C14_repr  yarin.b  R      31:10      1 g0375
           33784_2 voltagepa C14_repr  yarin.b  R      31:10      1 g0375
           33784_3 voltagepa C14_repr  yarin.b  R      31:10      1 g0375
           33784_4 voltagepa C14_repr  yarin.b  R      31:10      1 g0377
           33784_5 voltagepa C14_repr  yarin.b  R      31:10      1 g0377
           33784_6 voltagepa C14_repr  yarin.b  R      31:10      1 g0377
             33781 voltagepa AGENT_ru  yarin.b  R      54:41      1 g0375
# ---------------------------------------------------------
# exit=0  end=Thu Sep  3 09:24:10 UTC 2026
