fragment_id,fragment_line_num,index_in_line,word_language,domain,place_discovery,place_composition,value,clean_value,lemma
ARM 10 33,1,0,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,1,1,akk,lettre politique,Mari,Ilan-ṣura,be-lí,be-li2,bêlum
ARM 10 33,1,2,akk,lettre politique,Mari,Ilan-ṣura,ù,u3,u
ARM 10 33,1,3,akk,lettre politique,Mari,Ilan-ṣura,ka-ka-bi,ka-ka-bi,kakkabum
ARM 10 33,2,0,akk,lettre politique,Mari,Ilan-ṣura,qí-bí-ma,qi2-bi2-ma,qabûm
ARM 10 33,3,0,akk,lettre politique,Mari,Ilan-ṣura,um-ma,um-ma,umma
ARM 10 33,3,1,akk,lettre politique,Mari,Ilan-ṣura,(munus)-ki-ru-ú-ma,munus-ki-ru-u2-ma,Kirum
ARM 10 33,4,0,akk,lettre politique,Mari,Ilan-ṣura,DUMU-MUNUS-ka-a-ma,DUMU-MUNUS-ka-a-ma,mârtum
ARM 10 33,5,0,akk,lettre politique,Mari,Ilan-ṣura,ik-ta-ru,ik-ta-ru,karûm
ARM 10 33,5,1,akk,lettre politique,Mari,Ilan-ṣura,na-pá-aš-ti,na-pa2-aš-ti,napištum
ARM 10 33,6,0,akk,lettre politique,Mari,Ilan-ṣura,i-na,i-na,ina
ARM 10 33,6,1,akk,lettre politique,Mari,Ilan-ṣura,ši-tá-am-mi,ši-ta2-am-mi,šemûm
ARM 10 33,6,2,akk,lettre politique,Mari,Ilan-ṣura,a-wa-at,a-wa-at,awâtum
ARM 10 33,6,3,akk,lettre politique,Mari,Ilan-ṣura,(munus)-ši-ma-tim,munus-ši-ma-tim,Šimatum
ARM 10 33,7,0,akk,lettre politique,Mari,Ilan-ṣura,šum-ma,šum-ma,šumma
ARM 10 33,7,1,akk,lettre politique,Mari,Ilan-ṣura,be-lí,be-li2,bêlum
ARM 10 33,7,2,akk,lettre politique,Mari,Ilan-ṣura,ú-ul,u2-ul,ul
ARM 10 33,7,3,akk,lettre politique,Mari,Ilan-ṣura,i-ta-ar-ra-an-ni,i-ta-ar-ra-an-ni,târum
ARM 10 33,8,0,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,8,1,akk,lettre politique,Mari,Ilan-ṣura,ma-ri-(ki),ma-ri-ki,Mari
ARM 10 33,8,2,akk,lettre politique,Mari,Ilan-ṣura,a-ṣa-ba-at,a-ṣa-ba-at,ṣabâtum
ARM 10 33,8,3,akk,lettre politique,Mari,Ilan-ṣura,ap-pí,ap-pi2,appum
ARM 10 33,9,0,akk,lettre politique,Mari,Ilan-ṣura,iš-tu,iš-tu,ištu
ARM 10 33,9,1,akk,lettre politique,Mari,Ilan-ṣura,ú-ri-im,u2-ri-im,ûrum
ARM 10 33,9,2,akk,lettre politique,Mari,Ilan-ṣura,a-ma-qú-ut,a-ma-qu2-ut,maqâtum
ARM 10 33,10,0,akk,lettre politique,Mari,Ilan-ṣura,a-nu-um-ma,a-nu-um-ma,anumma
ARM 10 33,10,1,akk,lettre politique,Mari,Ilan-ṣura,(I)-ia-ri-im-(d)-da-gan,I-ia-ri-im-d-da-gan,Yarim-Dagan
ARM 10 33,11,0,akk,lettre politique,Mari,Ilan-ṣura,ka-la-šu,ka-la-šu,kalûm
ARM 10 33,11,1,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,11,2,akk,lettre politique,Mari,Ilan-ṣura,be-lí,be-li2,bêlum
ARM 10 33,12,0,akk,lettre politique,Mari,Ilan-ṣura,bu-ub,bu-ub,dabâbum
ARM 10 33,13,0,akk,lettre politique,Mari,Ilan-ṣura,ú,u2,Hayya-Sumu
ARM 10 33,13,1,akk,lettre politique,Mari,Ilan-ṣura,a-na-ku,a-na-ku,anâku
ARM 10 33,14,0,akk,lettre politique,Mari,Ilan-ṣura,ar,ar,mahârum
ARM 10 33,14,1,akk,lettre politique,Mari,Ilan-ṣura,LUGAL,LUGAL,šarrum
ARM 10 33,15,0,akk,lettre politique,Mari,Ilan-ṣura,at-ta,at-ta,atta
ARM 10 33,15,1,akk,lettre politique,Mari,Ilan-ṣura,ma-an-nu,ma-an-nu,mannum
ARM 10 33,16,0,akk,lettre politique,Mari,Ilan-ṣura,ú,u2,anâku
ARM 10 33,16,1,akk,lettre politique,Mari,Ilan-ṣura,GEME₂,GEME2,amtum
ARM 10 33,16,2,akk,lettre politique,Mari,Ilan-ṣura,mu-uš-ke-ni-im,mu-uš-ke-ni-im,muškênum
ARM 10 33,17,0,akk,lettre politique,Mari,Ilan-ṣura,a-wa-tim,a-wa-tim,awâtum
ARM 10 33,18,0,akk,lettre politique,Mari,Ilan-ṣura,tim,tim,annûm
ARM 10 33,18,1,akk,lettre politique,Mari,Ilan-ṣura,ik-ta-ru,ik-ta-ru,karûm
ARM 10 33,18,2,akk,lettre politique,Mari,Ilan-ṣura,na-pá-aš-ti,na-pa2-aš-ti,napištum
ARM 10 33,19,0,akk,lettre politique,Mari,Ilan-ṣura,bi,bi,abum
ARM 10 33,19,1,akk,lettre politique,Mari,Ilan-ṣura,li-iš-pu-ra-am-ma,li-iš-pu-ra-am-ma,šapârum
ARM 10 33,20,0,akk,lettre politique,Mari,Ilan-ṣura,ma-ri-(ki),ma-ri-ki,Mari
ARM 10 33,20,1,akk,lettre politique,Mari,Ilan-ṣura,li-it-ru-ni-in-ni,li-it-ru-ni-in-ni,tarûm
ARM 10 33,21,0,akk,lettre politique,Mari,Ilan-ṣura,ib-bi,ib-bi,libbum
ARM 10 33,21,1,akk,lettre politique,Mari,Ilan-ṣura,É-ta-am,E2-ta-am,bîtum
ARM 10 33,22,0,akk,lettre politique,Mari,Ilan-ṣura,ta-am,ta-am,rêštûm
ARM 10 33,22,1,akk,lettre politique,Mari,Ilan-ṣura,ú-ul,u2-ul,ul
ARM 10 33,22,2,akk,lettre politique,Mari,Ilan-ṣura,ha-aš-ha-ku,ha-aš-ha-ku,hašâhum
ARM 10 33,23,0,akk,lettre politique,Mari,Ilan-ṣura,ma,ma,anumma
ARM 10 33,23,1,akk,lettre politique,Mari,Ilan-ṣura,a-ia-ši,a-ia-ši,yâšim
ARM 10 33,23,2,akk,lettre politique,Mari,Ilan-ṣura,lu,lu,lû
ARM 10 33,23,3,akk,lettre politique,Mari,Ilan-ṣura,ba-al-ṭà-ta,ba-al-ṭa3-ta,balâṭum
ARM 10 33,24,0,akk,lettre politique,Mari,Ilan-ṣura,sí-ik-ti,si2-ik-ti,sissiktum
ARM 10 33,25,0,akk,lettre politique,Mari,Ilan-ṣura,ma-ha-ar,ma-ha-ar,mahrum
ARM 10 33,25,1,akk,lettre politique,Mari,Ilan-ṣura,LUGAL-MEŠ,LUGAL-MEŠ,šarrum
ARM 10 33,26,0,akk,lettre politique,Mari,Ilan-ṣura,ib-tu-uq,ib-tu-uq,batâqum
ARM 10 33,26,1,akk,lettre politique,Mari,Ilan-ṣura,um-ma,um-ma,umma
ARM 10 33,26,2,akk,lettre politique,Mari,Ilan-ṣura,šu-ma,šu-ma,šû
ARM 10 33,27,0,akk,lettre politique,Mari,Ilan-ṣura,at-la-ki,at-la-ki,alâkum
ARM 10 33,27,1,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,27,2,akk,lettre politique,Mari,Ilan-ṣura,É,E2,bîtum
ARM 10 33,27,3,akk,lettre politique,Mari,Ilan-ṣura,a-bi-ki,a-bi-ki,abum
ARM 10 33,28,0,akk,lettre politique,Mari,Ilan-ṣura,iš-tu,iš-tu,ištu
ARM 10 33,28,1,akk,lettre politique,Mari,Ilan-ṣura,pa-ni,pa-ni,pânum
ARM 10 33,28,2,akk,lettre politique,Mari,Ilan-ṣura,a-ša-ti-ia,a-ša-ti-ia,aššatum
ARM 10 33,29,0,akk,lettre politique,Mari,Ilan-ṣura,a-mu-ur,a-mu-ur,amârum
ARM 10 33,30,0,akk,lettre politique,Mari,Ilan-ṣura,ša-ni-tam,ša-ni-tam,šanîtum
ARM 10 33,30,1,akk,lettre politique,Mari,Ilan-ṣura,a-we-el-tam,a-we-el-tam,awîltum
ARM 10 33,30,2,akk,lettre politique,Mari,Ilan-ṣura,ša,ša,ša
ARM 10 33,30,3,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,30,4,akk,lettre politique,Mari,Ilan-ṣura,be-lí-ia,be-li2-ia,bêlum
ARM 10 33,31,0,akk,lettre politique,Mari,Ilan-ṣura,aq-bu-ú,aq-bu-u2,qabûm
ARM 10 33,31,1,akk,lettre politique,Mari,Ilan-ṣura,i-na,i-na,ina
ARM 10 33,31,2,akk,lettre politique,Mari,Ilan-ṣura,qa-ti-ia,qa-ti-ia,qâtum
ARM 10 33,32,0,akk,lettre politique,Mari,Ilan-ṣura,i-ki-im-ši-ma,i-ki-im-ši-ma,ekêmum
ARM 10 33,33,0,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 33,33,1,akk,lettre politique,Mari,Ilan-ṣura,ši-ma-tim,ši-ma-tim,Šimatum
ARM 10 33,34,0,akk,lettre politique,Mari,Ilan-ṣura,i-dì-in,i-di3-in,nadânum
ARM 10 35,1,0,akk,lettre politique,Mari,Ilan-ṣura,a-na,a-na,ana
ARM 10 35,1,1,akk,lettre politique,Mari,Ilan-ṣura,be-lí-ia,be-li2-ia,bêlum
ARM 10 35,1,2,akk,lettre politique,Mari,Ilan-ṣura,ù,u3,u
ARM 10 35,1,3,akk,lettre politique,Mari,Ilan-ṣura,a-bi-ia,a-bi-ia,abum
ARM 10 35,2,0,akk,lettre politique,Mari,Ilan-ṣura,qí-bí-ma,qi2-bi2-ma,qabûm
ARM 10 35,3,0,akk,lettre politique,Mari,Ilan-ṣura,um-ma,um-ma,umma
ARM 10 35,3,1,akk,lettre politique,Mari,Ilan-ṣura,ki-ru-ú-ma,ki-ru-u2-ma,Kirum
ARM 10 35,4,0,akk,lettre politique,Mari,Ilan-ṣura,ma-ra-at-ka-a-ma,ma-ra-at-ka-a-ma,mârtum
ARM 10 35,5,0,akk,lettre politique,Mari,Ilan-ṣura,a-wa-ti,a-wa-ti,awâtum
ARM 10 35,5,1,akk,lettre politique,Mari,Ilan-ṣura,ka-la-še-na,ka-la-še-na,kalûm
ARM 10 35,6,0,akk,lettre politique,Mari,Ilan-ṣura,(I)-ia-ri-im-(d)-da-gan,I-ia-ri-im-d-da-gan,Yarim-Dagan
ARM 10 35,7,0,akk,lettre politique,Mari,Ilan-ṣura,li-id-bu-ub,li-id-bu-ub,dabâbum
ARM 10 35,8,0,akk,lettre politique,Mari,Ilan-ṣura,ù,u3,u
ARM 10 35,8,1,akk,lettre politique,Mari,Ilan-ṣura,be-lí,be-li2,bêlum
