fragment_id,fragment_line_num,index_in_line,word_language,domain,place_discovery,place_composition,value,clean_value,lemma
79.B.32,1,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,IM,IM,ṭuppu I
79.B.32,1,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,I-d-AG-NIG2-DU-URU3,I-d-AG-NIG2-DU-URU3,Nabu-kudurri-uṣur I
79.B.32,2,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,a-na,a-na,ana I
79.B.32,2,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,I-DUG3-GA-IM-d-AG,I-DUG3-GA-IM-d-AG,Ṭab-šar-Nabu I
79.B.32,3,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,lu-u2,lu-u2,lū I
79.B.32,3,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,šu-lum,šu-lum,šulmu I
79.B.32,3,3,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,a-na,a-na,ana I
79.B.32,4,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,ka-a-šu2,ka-a-šu2,kâšim I
79.B.32,4,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,d-EN,d-EN,Bel I
79.B.32,4,3,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,u,u,u I
79.B.32,4,4,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,d-AG,d-AG,Nabu I
79.B.32,5,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,šu-lum-ka,šu-lum-ka,šulmu I
79.B.32,5,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,liq-bu-u,liq-bu-u,qabû II
79.B.32,6,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,a-na,a-na,ana I
79.B.32,6,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,UGU,UGU,muhhu I
79.B.32,6,3,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,EN-NUN-tu2,EN-NUN-tu2,maṣṣartu I
79.B.32,7,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,ša2,ša2,ša I
79.B.32,7,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,E2,E2,bītu I
79.B.32,7,3,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,la,la,lā I
79.B.32,7,4,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,ta-šel-lu,ta-šel-lu,šelû III
79.B.32,8,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,EN-NUN-tu2,EN-NUN-tu2,maṣṣartu I
79.B.32,8,2,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,ša2,ša2,ša I
79.B.32,8,3,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,E2,E2,bītu I
79.B.32,9,1,akk,LB Letters,BABYLON und SIPPAR,BABYLON und SIPPAR,u2-ṣur,u2-ṣur,naṣāru I
