fragment_id,fragment_line_num,index_in_line,word_language,domain,place_discovery,place_composition,value,clean_value,lemma
P224378,1,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),ARAD-ka,ARAD-ka,ardu
P224378,2,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),a-na,a-na,ana
P224378,2,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),di-na-an,di-na-an,dinānu
P224378,2,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),LUGAL,LUGAL,šarru
P224378,2,3,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),be-li₂-ia,be-li2-ia,bēlu
P224378,2,4,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),lul-lik,lul-lik,alāku
P224378,3,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),um-ma-a,um-ma-a,umma
P224378,3,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),a-na,a-na,ana
P224378,3,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),LUGAL,LUGAL,šarru
P224378,3,3,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),be-li₂-ia-a-ma,be-li2-ia-a-ma,bēlu
P224378,4,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),a-na,a-na,ana
P224378,4,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),LUGAL,LUGAL,šarru
P224378,4,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),be-li₂-ia₂,be-li2-ia2,bēlu
P224378,4,3,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),al-tap-ra,al-tap-ra,šapāru
P224378,5,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),um-ma,um-ma,umma
P224378,5,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),mi-nam-ma,mi-nam-ma,minamma
P224378,5,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),ep-pu-uš,ep-pu-uš,epēšu
P224378,6,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),ša₂,ša2,ša
P224378,6,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),a-na,a-na,ana
P224378,6,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),LUGAL,LUGAL,šarru
P224378,6,3,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),aq-bu-u₂,aq-bu-u2,qabû
P224378,6,4,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),um-ma,um-ma,umma
P224378,6,5,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),d.EN,d-EN,Bel
P224378,6,6,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),iq-ta-bi,iq-ta-bi,qabû
P224378,7,0,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),um-ma,um-ma,umma
P224378,7,1,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),LUGAL-u₂-tu,LUGAL-u2-tu,šarrūtu
P224378,7,2,akk,NALet,Nimrud (Kalhu),Nimrud (Kalhu),i-ši,i-ši,našû
