tokenizer,vocab_size,corpus,primary_col,fertility,unk_rate,byte_rate,char_probe_mean
thalesian_cunei400m,256300,orcc,text_tier0,6.2188,0.0,0.0,1.722
thalesian_cunei400m,256300,seal,text_tier0,6.0149,0.0,0.0,1.722
thalesian_cunei400m,256300,letters,full_text,5.4388,0.0,0.0,1.722
thalesian_cunei400m,256300,archibab,value_raw,6.3134,0.0,0.0,1.722
thalesian_cunei400m,256300,oracc_1mill,value_clean,5.9272,0.0,0.0,1.722
umt5_base,256300,orcc,text_tier0,5.2237,0.0,0.0,1.722
umt5_base,256300,seal,text_tier0,5.0244,0.0,0.0,1.722
umt5_base,256300,letters,full_text,4.7912,0.0,0.0,1.722
umt5_base,256300,archibab,value_raw,5.3334,0.0,0.0,1.722
umt5_base,256300,oracc_1mill,value_clean,4.9493,0.0,0.0,1.722
qwen3_8b,151643,orcc,text_tier0,5.06,0.0,0.0,1.0
qwen3_8b,151643,seal,text_tier0,4.7036,0.0,0.0,1.0
qwen3_8b,151643,letters,full_text,4.7868,0.0,0.0,1.0
qwen3_8b,151643,archibab,value_raw,4.9451,0.0,0.0,1.0
qwen3_8b,151643,oracc_1mill,value_clean,4.9718,0.0,0.0,1.0
gpt_oss_120b,199998,orcc,text_tier0,4.4261,0.0,0.0,1.167
gpt_oss_120b,199998,seal,text_tier0,4.0297,0.0,0.0,1.167
gpt_oss_120b,199998,letters,full_text,4.2354,0.0,0.0,1.167
gpt_oss_120b,199998,archibab,value_raw,4.2385,0.0,0.0,1.167
gpt_oss_120b,199998,oracc_1mill,value_clean,4.6492,0.0,0.0,1.167
