family,arm,cleaning,best_layer,spearman_mean,spearman_std
gpt_oss_120b,base,maximal,5,0.33011847713778275,0.0723825526472593
gpt_oss_120b,ft00,maximal,1,0.3268152447090239,0.06461714248929776
gpt_oss_120b,ft12,maximal,5,0.33011847713778275,0.0723825526472593
gpt_oss_120b,ft24,maximal,5,0.33011847713778275,0.0723825526472593
gpt_oss_120b,base,tier0,27,0.4038497604337784,0.06782215171968208
gpt_oss_120b,ft00,tier0,17,0.4514428367831904,0.08378515508826336
gpt_oss_120b,ft12,tier0,30,0.41291469224715227,0.06991696734272229
gpt_oss_120b,ft24,tier0,18,0.3988648690395864,0.08005756947106112
gpt_oss_120b,ft32,tier0,27,0.4038497604337784,0.06782215171968208
qwen3_1b7,base,maximal,9,0.3548592297711487,0.0802097945455078
qwen3_1b7,ft00,maximal,5,0.3415732228734873,0.0835770213134605
qwen3_1b7,ft09,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,ft19,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,ft25,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,base,tier0,2,0.3967012633554563,0.2944459264255241
qwen3_1b7,ft00,tier0,7,0.3668643216183588,0.08614720446047087
qwen3_1b7,ft09,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_1b7,ft19,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_1b7,ft25,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_32b,base,maximal,6,0.3398023914081095,0.0692201263590185
qwen3_32b,base,tier0,5,0.4330711191651805,0.3113392398612752
qwen3_8b,base,maximal,16,0.3632999439650441,0.0841488480991636
qwen3_8b,ft00,maximal,14,0.3646273915168062,0.0816837273935562
qwen3_8b,ft12,maximal,16,0.358211482443384,0.08532589730112677
qwen3_8b,ft24,maximal,16,0.3634846188565477,0.08409275892424312
qwen3_8b,ft32,maximal,16,0.3634846188565477,0.08409275892424312
qwen3_8b,base,tier0,3,0.4197935232720908,0.314973056729323
qwen3_8b,ft00,tier0,15,0.37572600895740366,0.09136932037401241
qwen3_8b,ft12,tier0,1,0.365399448765135,0.06821907368917289
qwen3_8b,ft24,tier0,1,0.365399448765135,0.06821907368917289
qwen3_8b,ft32,tier0,1,0.365399448765135,0.06821907368917289
