family,arm,cleaning,layer,spearman_mean,spearman_std
gpt_oss_120b,base,maximal,0,0.30905970979044023,0.061337930049133856
gpt_oss_120b,base,maximal,1,0.31083654209418987,0.06853336476976075
gpt_oss_120b,base,maximal,2,0.2816045434190342,0.07559138210358421
gpt_oss_120b,base,maximal,3,0.310546759234587,0.07398761246798286
gpt_oss_120b,base,maximal,4,0.32916029552477755,0.07049057574931042
gpt_oss_120b,base,maximal,5,0.33011847713778275,0.0723825526472593
gpt_oss_120b,base,maximal,6,0.3039944059818806,0.07822115786021995
gpt_oss_120b,base,maximal,7,0.28746450243427446,0.08141682048296243
gpt_oss_120b,base,maximal,8,0.2766279842016934,0.08079867672628271
gpt_oss_120b,base,maximal,9,0.2762992543631582,0.07877695011339515
gpt_oss_120b,base,maximal,10,0.265993757902194,0.08129088071064378
gpt_oss_120b,base,maximal,11,0.2606344277512038,0.07848042635678394
gpt_oss_120b,base,maximal,12,0.2663369143978462,0.07278716583698147
gpt_oss_120b,base,maximal,13,0.2746483840668152,0.0733030117008594
gpt_oss_120b,base,maximal,14,0.2711217535520843,0.07377060035270988
gpt_oss_120b,base,maximal,15,0.26800304491348265,0.0768798418038525
gpt_oss_120b,base,maximal,16,0.26071775529797575,0.0760003894177766
gpt_oss_120b,base,maximal,17,0.24521540940157124,0.07668572043986671
gpt_oss_120b,base,maximal,18,0.2565117197868318,0.07591404603425848
gpt_oss_120b,base,maximal,19,0.2526207431562858,0.07564309083503837
gpt_oss_120b,base,maximal,20,0.2748260814972454,0.07349262572426192
gpt_oss_120b,base,maximal,21,0.27802431628893126,0.0708187092335347
gpt_oss_120b,base,maximal,22,0.30123349621877243,0.06752458103841319
gpt_oss_120b,base,maximal,23,0.29401584307303086,0.06771836242799589
gpt_oss_120b,base,maximal,24,0.2936883409352463,0.06697816988616483
gpt_oss_120b,base,maximal,25,0.2883071053114298,0.06814310390961106
gpt_oss_120b,base,maximal,26,0.2916867986703997,0.06764138748827124
gpt_oss_120b,base,maximal,27,0.2909120568526401,0.06701420314486634
gpt_oss_120b,base,maximal,28,0.2957010123180506,0.06738222626673943
gpt_oss_120b,base,maximal,29,0.29143992342130964,0.06751375951207064
gpt_oss_120b,base,maximal,30,0.2749552698023113,0.06644590151468005
gpt_oss_120b,base,maximal,31,0.27146843467150406,0.06614251545004028
gpt_oss_120b,base,maximal,32,0.2671990223631672,0.06634412179358304
gpt_oss_120b,base,maximal,33,0.26012226224484625,0.06650572656502131
gpt_oss_120b,base,maximal,34,0.24774898074158386,0.06398272414341823
gpt_oss_120b,base,maximal,35,0.23832912461470138,0.06204040542505492
