model,k,spearman_mean,spearman_std,ridge_baseline
mlm,1,0.3728122642622536,0.06881772852163459,0.4078930721767133
mlm,2,0.39929373188600026,0.06468514421026314,0.4078930721767133
mlm,3,0.3824597401910678,0.069952477512298,0.4078930721767133
mlm,5,0.36715644580259704,0.0770349106339785,0.4078930721767133
mlm,8,0.36368685696424363,0.0953673436467506,0.4078930721767133
mlm,16,0.31804539901918794,0.10134647365833159,0.4078930721767133
mlm,32,0.28503018438470323,0.10165899455464109,0.4078930721767133
mlm,64,0.2678513477010725,0.10321935958688892,0.4078930721767133
thalesian_cunei400m,1,0.3633534128854085,0.06006501121524783,0.383773901697019
thalesian_cunei400m,2,0.3655454316626314,0.06464540727758655,0.383773901697019
thalesian_cunei400m,3,0.3763278457748333,0.07271493729595917,0.383773901697019
thalesian_cunei400m,5,0.37668257838316166,0.08316084188511441,0.383773901697019
thalesian_cunei400m,8,0.3704057607474611,0.08559479883849337,0.383773901697019
thalesian_cunei400m,16,0.3540810657204909,0.09173774061588505,0.383773901697019
thalesian_cunei400m,32,0.3476463111398018,0.09446231329739263,0.383773901697019
thalesian_cunei400m,64,0.3451120480605194,0.09388494076149066,0.383773901697019
qwen3_32b,1,0.1905965588905167,0.09995098919654542,0.3264177181182755
qwen3_32b,2,0.35586352291389317,0.07713779689142246,0.3264177181182755
qwen3_32b,3,0.37539153369988404,0.0702831703777646,0.3264177181182755
qwen3_32b,5,0.3201712443646748,0.08502683916146797,0.3264177181182755
qwen3_32b,8,0.26773482153099787,0.08963997521464787,0.3264177181182755
qwen3_32b,16,0.2391243785258901,0.0993014552524341,0.3264177181182755
qwen3_32b,32,0.22011193248517294,0.09925844695901438,0.3264177181182755
qwen3_32b,64,0.21543146115855058,0.10046379808279271,0.3264177181182755
tfidf,1,0.3232159232017967,0.08528744062647485,0.355
tfidf,2,0.3636185747296522,0.07493822526292859,0.355
tfidf,3,0.37617038271132924,0.06806960225825096,0.355
tfidf,5,0.36409757008565136,0.0692143334291549,0.355
tfidf,8,0.35636346657332824,0.07420790139298962,0.355
tfidf,16,0.36337216715507104,0.08389419078582262,0.355
tfidf,32,0.35984060810928853,0.08429591254901006,0.355
tfidf,64,0.3598469768778906,0.08437234333480913,0.355
