model,layer,spearman_mean,spearman_std
tfidf,0,0.2917600827623549,0.07831925706362536
mlm,0,0.2836768277366338,0.06940762128901051
mlm,1,0.31116089100633565,0.06745723794929055
mlm,2,0.3006480781418809,0.07063440013748538
mlm,3,0.30142915955575517,0.06852249634353211
mlm,4,0.28701658534375835,0.07023216398655312
mlm,5,0.2746968464391651,0.07384216878054868
mlm,6,0.273273858237954,0.07306537552350849
mlm,7,0.2703756434755207,0.07421782104087143
mlm,8,0.2692080286077664,0.0741828255158696
mlm,9,0.27067607716741965,0.07426281481696964
mlm,10,0.26739420612006476,0.07420728902680573
mlm,11,0.2718123440622114,0.07328189783389033
mlm,12,0.27392690201857756,0.07389833410648376
mlm,13,0.2655089508753954,0.07611177914342003
mlm,14,0.2726173057606628,0.07594344080802187
mlm,15,0.27027810498728305,0.07602646508348039
mlm,16,0.25959970073879535,0.07779899367992071
thalesian_akk300m,0,0.28832450544302984,0.07189590796604627
thalesian_akk300m,1,0.2645787077503869,0.07580144017175607
thalesian_akk300m,2,0.2622818008247799,0.08024850988405487
thalesian_akk300m,3,0.25253617960611396,0.08484202624206011
thalesian_akk300m,4,0.26881720805765263,0.08144418119950202
thalesian_akk300m,5,0.29873099055155966,0.07510356926473745
thalesian_akk300m,6,0.3137586661655326,0.07138448892645433
thalesian_akk300m,7,0.3115527333282811,0.0810379475842949
thalesian_akk300m,8,0.32241359397702235,0.06713665570509585
thalesian_cunei400m,0,0.29745055793015174,0.0747435754777604
thalesian_cunei400m,1,0.2670478956810686,0.07643950889107352
thalesian_cunei400m,2,0.2737365125247333,0.07251271063715206
thalesian_cunei400m,3,0.285121989214899,0.07459372306238718
thalesian_cunei400m,4,0.2792069314893865,0.07475237579721225
thalesian_cunei400m,5,0.30240822520954763,0.07849744361429652
thalesian_cunei400m,6,0.3252640611753182,0.07962321176751576
thalesian_cunei400m,7,0.36840175996175645,0.07050312443102204
thalesian_cunei400m,8,0.39212947337449533,0.06570383093614879
thalesian_cunei400m,9,0.39909720293125217,0.06908345802776199
thalesian_cunei400m,10,0.4113053209509671,0.06785944022266163
thalesian_cunei400m,11,0.4095264743068632,0.06800792426815078
thalesian_cunei400m,12,0.39716332886482514,0.06727047579657985
qwen3_1b7,0,0.2779114894927071,0.0671813781099665
qwen3_1b7,1,0.2781608902086048,0.06821911470714875
qwen3_1b7,2,0.3198687014700058,0.06874432242415249
qwen3_1b7,3,0.3366287555146866,0.07976414301672996
qwen3_1b7,4,0.3462141564348114,0.08570051081020465
qwen3_1b7,5,0.3537717382942535,0.08372654198341183
qwen3_1b7,6,0.34739588893011786,0.08202748926716825
qwen3_1b7,7,0.34873066866179825,0.07990728892648438
qwen3_1b7,8,0.3459066492278369,0.08254308373757707
qwen3_1b7,9,0.3548592297711487,0.08020979454550788
qwen3_1b7,10,0.3237439717315829,0.07963373163719571
qwen3_1b7,11,0.32119160880726416,0.07880768390069856
qwen3_1b7,12,0.31283958798761874,0.07896345912621866
qwen3_1b7,13,0.3056389243845291,0.07816340575416757
qwen3_1b7,14,0.30833428434251187,0.07805252420403627
qwen3_1b7,15,0.30277206868553674,0.07837006960871783
qwen3_1b7,16,0.2979999914163016,0.08027470425444286
qwen3_1b7,17,0.29334588526343497,0.08146457787233075
qwen3_1b7,18,0.29808803587164534,0.0827277296046288
qwen3_1b7,19,0.28435962253640584,0.07646754602849519
qwen3_1b7,20,0.2703339028526461,0.07329214422507989
qwen3_1b7,21,0.27030897544264526,0.07599982899896783
qwen3_1b7,22,0.2824852733925108,0.07347215390664194
qwen3_1b7,23,0.2837279489608445,0.0733650410050086
qwen3_1b7,24,0.2815325699074762,0.07097650982657937
qwen3_1b7,25,0.273349009298491,0.07136610850928418
qwen3_1b7,26,0.2624554869242446,0.07455308085923265
qwen3_1b7,27,0.2476452545852595,0.07527226892239348
qwen3_1b7,28,0.23213086503950353,0.07511591679066096
qwen3_8b,0,0.2824616957136548,0.06751625515316256
qwen3_8b,1,0.26141946479783973,0.07304237971668391
qwen3_8b,2,0.29298016871871435,0.06972800012938452
