model,layer,spearman_mean,spearman_std
thalesian_akk300m,0,0.2691104937919333,0.07924528419289309
thalesian_akk300m,1,0.14220187324107425,0.07752394485591958
thalesian_akk300m,2,0.13317494008007105,0.0791007371694073
thalesian_akk300m,3,0.1669014032968078,0.08653769987834106
thalesian_akk300m,4,0.19769968096407978,0.08890113014119136
thalesian_akk300m,5,0.2118855384294447,0.08640203032675933
thalesian_akk300m,6,0.23904599905385737,0.0843671714879802
thalesian_akk300m,7,0.1843153646348464,0.08618423919516535
thalesian_akk300m,8,0.307586295985593,0.07464522206961371
thalesian_cunei400m,0,0.27132365713487333,0.07991313020372129
thalesian_cunei400m,1,0.1094703847064987,0.07847307538461956
thalesian_cunei400m,2,0.16514004032080196,0.08123834062680982
thalesian_cunei400m,3,0.19663134319395098,0.08306695546552666
thalesian_cunei400m,4,0.2064347435571978,0.08009841509364765
thalesian_cunei400m,5,0.21247201014925593,0.07896272531503495
thalesian_cunei400m,6,0.23843310817522276,0.07576672868709684
thalesian_cunei400m,7,0.294693315475233,0.06738932642062304
thalesian_cunei400m,8,0.31972482626170917,0.06414811833201242
thalesian_cunei400m,9,0.325806449625652,0.06302132898297454
thalesian_cunei400m,10,0.3390397831893624,0.06324873785061233
thalesian_cunei400m,11,0.34871913397627874,0.06474306495767256
thalesian_cunei400m,12,0.36425375272071847,0.06700193524775183
qwen3_1b7,0,0.2398688832040448,0.0761536429911759
qwen3_1b7,1,0.26054952233356937,0.06987322803559089
qwen3_1b7,2,0.29823622351726287,0.07429515896858074
qwen3_1b7,3,0.06384898917646467,0.08289575713539593
qwen3_1b7,4,0.07332347737309006,0.08350098125015973
qwen3_1b7,5,0.06345022639009162,0.08699805678898427
qwen3_1b7,6,0.05971423482447252,0.08693162311299248
qwen3_1b7,7,0.058705813308006866,0.08700501011009543
qwen3_1b7,8,0.06015620461878041,0.08637987008355281
qwen3_1b7,9,0.07186500574415443,0.08331614538041641
qwen3_1b7,10,0.07892709934362034,0.08082356117692419
qwen3_1b7,11,0.08192464685697855,0.07972674040814018
qwen3_1b7,12,0.07999096362103886,0.07962987062659098
qwen3_1b7,13,0.08259297136095123,0.07865202109938468
qwen3_1b7,14,0.08243854250347195,0.0792498748715322
qwen3_1b7,15,0.08681812302716076,0.07904539531040916
qwen3_1b7,16,0.09357596375811289,0.07844231545608192
qwen3_1b7,17,0.11518263322373973,0.07721284532750171
qwen3_1b7,18,0.11592491932026537,0.07717729879964239
qwen3_1b7,19,0.1343564358279538,0.07825460649453538
qwen3_1b7,20,0.15179291769554004,0.07762212432959066
qwen3_1b7,21,0.20234963855424185,0.08020457191530263
qwen3_1b7,22,0.22115169051789646,0.07962753960979126
qwen3_1b7,23,0.2332310879124831,0.07951232019991164
qwen3_1b7,24,0.21619851310459193,0.0770047474985733
qwen3_1b7,25,0.21619820303636567,0.07797978837325742
qwen3_1b7,26,0.21486473594130173,0.07894267316846315
qwen3_1b7,27,0.21150609847584306,0.08132390773140098
qwen3_1b7,28,0.16790090557663537,0.07936909224192788
qwen3_8b,0,0.23174703214721448,0.07787721974446207
qwen3_8b,1,0.24988981650281997,0.07497831527945356
qwen3_8b,2,0.28242458220189165,0.0738159118900383
qwen3_8b,3,0.2678127965930073,0.07641169962056359
qwen3_8b,4,0.2586996141008384,0.07595978977965048
qwen3_8b,5,0.2688438149549146,0.07574875773275612
qwen3_8b,6,0.28069689495218014,0.07431811301792811
qwen3_8b,7,0.11088528101393655,0.07109786090837822
qwen3_8b,8,0.10529954419865575,0.07288087484387998
qwen3_8b,9,0.1033444195678991,0.07327707229981775
qwen3_8b,10,0.109336852110298,0.07069724171886431
qwen3_8b,11,0.11222687895432369,0.06999092286220696
qwen3_8b,12,0.11197288545453095,0.0700027273598852
qwen3_8b,13,0.11071865206224839,0.07011730108359648
qwen3_8b,14,0.11309623060289482,0.07032377477047687
qwen3_8b,15,0.11318049643018326,0.06985403601405232
qwen3_8b,16,0.11120905979959002,0.07020140826382021
qwen3_8b,17,0.11142450562049547,0.07037109636117021
qwen3_8b,18,0.1090427872558207,0.07140139415660168
qwen3_8b,19,0.11081113183500807,0.07193365051054287
qwen3_8b,20,0.11202001921162433,0.0735468310577285
qwen3_8b,21,0.11150892582036825,0.07495551947779866
qwen3_8b,22,0.11107105264043846,0.07576915912774412
qwen3_8b,23,0.11784063404101901,0.0764574944081062
qwen3_8b,24,0.13449073288314442,0.07548068970474077
qwen3_8b,25,0.1701451528698801,0.07422496413705014
qwen3_8b,26,0.17544096831800293,0.07539922448524439
qwen3_8b,27,0.1926073781036802,0.07490954543828658
qwen3_8b,28,0.21358234942489965,0.07551198274887243
qwen3_8b,29,0.21686858646765825,0.07591659738523364
qwen3_8b,30,0.2195861851863669,0.07892382512933864
qwen3_8b,31,0.22396253260367022,0.08002769242064141
qwen3_8b,32,0.2284027152897899,0.07949225962549404
qwen3_8b,33,0.2282086640559241,0.07964596122123438
qwen3_8b,34,0.22808257964926734,0.08132379314449344
qwen3_8b,35,0.21230449936263673,0.0853519759645675
qwen3_8b,36,0.17422690230005586,0.07840445660572448
qwen3_32b,0,0.2166439179732479,0.07709842796363828
qwen3_32b,1,0.2775747278383196,0.07142687776652198
qwen3_32b,2,0.28533069809257633,0.07202267396441729
qwen3_32b,3,0.3023183276032929,0.07282366632022838
qwen3_32b,4,0.3020608114482465,0.07301208804554475
qwen3_32b,5,0.3046848571886072,0.0721989301735402
qwen3_32b,6,0.3024756909244512,0.07252190593335434
qwen3_32b,7,0.0979366892283365,0.08542860868097867
qwen3_32b,8,0.1052424594977868,0.08339557374255514
qwen3_32b,9,0.10951472313832684,0.08093749437993082
qwen3_32b,10,0.11233980326980576,0.07987449314070685
qwen3_32b,11,0.11415011841524486,0.07993844870179932
qwen3_32b,12,0.11167745010478405,0.08025433911247347
qwen3_32b,13,0.10835546879244834,0.07963261479443833
qwen3_32b,14,0.10663743414942331,0.07905301295399428
qwen3_32b,15,0.10578227870928007,0.07961907348328365
qwen3_32b,16,0.10250950636403151,0.08035380779973741
qwen3_32b,17,0.09904432263536073,0.08047406640817215
qwen3_32b,18,0.09560299871333511,0.08123676342261173
qwen3_32b,19,0.09333308743485016,0.0812833708743216
qwen3_32b,20,0.09063328972734855,0.08179151757282402
qwen3_32b,21,0.08789311141219117,0.08160909783992484
qwen3_32b,22,0.08499530696330983,0.08187550675064777
qwen3_32b,23,0.08305062197551205,0.08192107695670953
qwen3_32b,24,0.08100640162977847,0.0821086669319342
qwen3_32b,25,0.07931113027561525,0.08212321550933793
qwen3_32b,26,0.0810577351198571,0.08198042615922221
qwen3_32b,27,0.08272239460034726,0.08383829577873504
qwen3_32b,28,0.0847362313782851,0.08329768494027526
qwen3_32b,29,0.08584964778623327,0.08319575532919193
qwen3_32b,30,0.08832043501053688,0.08262088961580624
qwen3_32b,31,0.0870682666176145,0.08262267479346502
qwen3_32b,32,0.08510602449455945,0.08317078930532697
qwen3_32b,33,0.0999788433632539,0.08247082831326996
qwen3_32b,34,0.10196569178573645,0.08097233920534438
qwen3_32b,35,0.1014663040992826,0.08070705655803602
qwen3_32b,36,0.09985468708607861,0.08094627922833963
qwen3_32b,37,0.09646537771421922,0.08092427068948772
qwen3_32b,38,0.09344335595298509,0.08074865886554129
qwen3_32b,39,0.08977935270768728,0.0813692986286813
qwen3_32b,40,0.08507553514754639,0.08194685498743276
qwen3_32b,41,0.08257754752939617,0.08227540790411735
qwen3_32b,42,0.0755175779892137,0.08302910950685309
qwen3_32b,43,0.0722074715091422,0.08267397355631129
qwen3_32b,44,0.0648913607216695,0.0837241022675506
qwen3_32b,45,0.06046730542879009,0.08539919030853577
qwen3_32b,46,0.05988817180520952,0.08553552985768416
qwen3_32b,47,0.06225027454808662,0.08497254271825432
qwen3_32b,48,0.06488250267920823,0.08490568017823946
qwen3_32b,49,0.06730816280228635,0.08428703206422264
qwen3_32b,50,0.06867230416253706,0.08341191040468451
qwen3_32b,51,0.08997158446281833,0.08016197520587424
qwen3_32b,52,0.0982702843623192,0.08060804147197667
qwen3_32b,53,0.10925297734353126,0.07982212228047135
qwen3_32b,54,0.12593847931441493,0.07882586894522002
qwen3_32b,55,0.14800303082949248,0.0784416775161034
qwen3_32b,56,0.16374236371814976,0.07727331380054249
qwen3_32b,57,0.1724611604075986,0.07768369277375906
qwen3_32b,58,0.1828979091099432,0.07790768641277711
qwen3_32b,59,0.19009290906250595,0.07780748727981003
qwen3_32b,60,0.1948743122779033,0.07773753778625563
qwen3_32b,61,0.2085912205158945,0.07699366743246212
qwen3_32b,62,0.2097918302086687,0.07568985468833603
qwen3_32b,63,0.2036342459522342,0.07954131762090677
qwen3_32b,64,0.1607434660023258,0.07617561566859885
random,0,0.20258295847742477,0.08231039194562367
random,1,0.21623402227345692,0.08836536887530667
random,2,0.20938243769141,0.09264775335377869
random,3,0.2259868331536119,0.09599149991708346
random,4,0.22683943788539146,0.09948017745983687
random,5,0.22361070027672342,0.10040406706146911
random,6,0.22122823105566186,0.10429156437897168
random,7,0.2232827289120136,0.10363948990314492
random,8,0.21189262222499272,0.1030056539035213
random,9,0.2072953283316851,0.10490484065964523
