model,variant,pool,layer,task,headline_metric,headline_value,std,n_labeled,extra
qwen3_1b7,pv0,last,L00,ruler,macro_f1_mean,0.022234843272898663,0.00016493383438778237,1150,accuracy=0.23304347826086955 chance=0.058823529411764705 weighted_f1=0.08809462088246175
qwen3_1b7,pv0,last,L00,year,spearman_mean_year_raw,,,40,k=1 r2=nan mae=nan
qwen3_1b7,pv0,last,L07,ruler,macro_f1_mean,0.08041454590023164,0.0077606102617912695,1150,accuracy=0.33826086956521745 chance=0.058823529411764705 weighted_f1=0.2597035479041193
qwen3_1b7,pv0,last,L07,year,spearman_mean_year_raw,0.29381538639226384,0.13804137210766992,40,k=2 r2=0.0679342951490735 mae=82.10574223206373
qwen3_1b7,pv0,last,L14,ruler,macro_f1_mean,0.0842939807453624,0.005943250353959344,1150,accuracy=0.34 chance=0.058823529411764705 weighted_f1=0.26845121368382474
qwen3_1b7,pv0,last,L14,year,spearman_mean_year_raw,0.3732440897753792,0.14496714304548367,40,k=2 r2=0.05461120320821063 mae=80.31709424492634
qwen3_1b7,pv0,last,L21,ruler,macro_f1_mean,0.0689359195890576,0.006624892447562122,1150,accuracy=0.3182608695652174 chance=0.058823529411764705 weighted_f1=0.22817347393345586
qwen3_1b7,pv0,last,L21,year,spearman_mean_year_raw,0.37292979353902217,0.16592804619206772,40,k=3 r2=0.09422618676909027 mae=80.86345263118515
qwen3_1b7,pv0,last,L27,ruler,macro_f1_mean,0.051155778385968055,0.002668182642856662,1150,accuracy=0.3008695652173913 chance=0.058823529411764705 weighted_f1=0.18734494366788126
qwen3_1b7,pv0,last,L27,year,spearman_mean_year_raw,0.37995432514161226,0.210807166717852,40,k=3 r2=0.12183437053915225 mae=80.31214472448332
qwen3_1b7,pv0,mean,L00,ruler,macro_f1_mean,0.14661017143368038,0.0091419234732512,1150,accuracy=0.45999999999999996 chance=0.058823529411764705 weighted_f1=0.40071073511461075
qwen3_1b7,pv0,mean,L00,year,spearman_mean_year_raw,0.3924229025526662,0.2908664310781085,40,k=1 r2=0.0807001201974119 mae=80.82825483596726
qwen3_1b7,pv0,mean,L07,ruler,macro_f1_mean,0.09233313026386439,0.002588744992528204,1150,accuracy=0.37217391304347824 chance=0.058823529411764705 weighted_f1=0.29360344608079475
qwen3_1b7,pv0,mean,L07,year,spearman_mean_year_raw,0.41296078488699756,0.2143743419747183,40,k=3 r2=0.12694116112410425 mae=82.44681003063518
qwen3_1b7,pv0,mean,L14,ruler,macro_f1_mean,0.08776566527378253,0.005091005623519038,1150,accuracy=0.3582608695652174 chance=0.058823529411764705 weighted_f1=0.28099624341222385
qwen3_1b7,pv0,mean,L14,year,spearman_mean_year_raw,0.4508136802329908,0.18733747169090267,40,k=5 r2=0.12634940989827603 mae=79.25474958572033
qwen3_1b7,pv0,mean,L21,ruler,macro_f1_mean,0.08817693038320426,0.004075437381131259,1150,accuracy=0.3617391304347826 chance=0.058823529411764705 weighted_f1=0.28294418509293473
qwen3_1b7,pv0,mean,L21,year,spearman_mean_year_raw,0.4455422854250645,0.23784745778311475,40,k=3 r2=0.13188045415664937 mae=76.70632323026935
