model,display,cleaning,pool,r1_imbalanced_macro_f1,r1_accuracy,r1_best_layer,balanced_mc_macro_f1_mean,balanced_mc_macro_f1_std,balanced_mc_macro_f1_median,balanced_mc_layer,n_draws
tfidf,TF-IDF,tier0,na,0.3262297893268608,0.7768604246432301,0,0.6496411099317347,0.03684237840752215,0.6472258297258298,0,200
thalesian_cunei400m,Thalesian cuneiBase-400m,maximal,mean,0.2625204623024494,0.5704347826086956,12,,,,,
random,Random-Qwen,tier0,mean,0.23504533494701513,0.6587887225896275,1,,,,,
tfidf,TF-IDF,maximal,na,0.22772628875247927,0.6505046989209886,0,0.49799929150441913,0.04027946508936684,0.4998137973137973,0,200
mlm,MLM (Aeneas),tier0,mean,0.2195353616366163,0.6304768534632788,0,0.46035434226720995,0.04354711180530984,0.4593630674880675,15,200
random,Random-Qwen,maximal,mean,0.2158067336870994,0.5808353637312913,3,,,,,
thalesian_cunei400m,Thalesian cuneiBase-400m,tier0,mean,0.21033015365167484,0.5669565217391305,12,0.4479254351406247,0.04315367094627736,0.44838457294339645,12,200
random,Random-Qwen,maximal,last,0.17548104425872818,0.50771319178559,1,,,,,
thalesian_akk300m,Thalesian AKK_300m,tier0,mean,0.15996949623203882,0.4721739130434782,8,0.32329950059507917,0.038801840232077195,0.3227681693306694,8,200
qwen,Qwen-7B (pretrained),maximal,last,0.15496122468624052,0.4758231813435433,7,,,,,
random,Random-Qwen,tier0,last,0.14912276711665556,0.5076853463278802,1,,,,,
thalesian_akk300m,Thalesian AKK_300m,maximal,mean,0.1412064045389328,0.4304347826086956,8,,,,,
qwen,Qwen-7B (pretrained),tier0,last,0.1295255244210729,0.43205708318830494,5,,,,,
qwen,Qwen-7B (pretrained),maximal,mean,0.11818209351321911,0.501726418378002,0,,,,,
qwen,Qwen-7B (pretrained),tier0,mean,0.11667805436494812,0.5230003480682214,0,0.3521124200088985,0.041654470165106074,0.35660200094023625,0,200
thalesian_cunei400m,Thalesian cuneiBase-400m,maximal,last,0.08678260560414255,0.35913043478260864,12,,,,,
thalesian_cunei400m,Thalesian cuneiBase-400m,tier0,last,0.07866443393794283,0.3365217391304348,12,,,,,
thalesian_akk300m,Thalesian AKK_300m,tier0,last,0.022234843272898663,0.23304347826086955,0,,,,,
thalesian_akk300m,Thalesian AKK_300m,maximal,last,0.022234843272898663,0.23304347826086955,0,,,,,
