method,cleaning,pool,layer,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc
qwen3_1b7,maximal,last,0,50,0.05669326425147372,0.5631706186249834,0.8226320201173513,15.972169914367344,0.03749102843450734,0.5092727513577957
qwen3_1b7,maximal,last,1,40,0.07210361572275838,0.5534121517198746,0.780804694048617,8.236132083765463,0.08236583032386385,0.5487261005872742
qwen3_1b7,maximal,last,2,34,0.09232675884829367,0.5661677043316996,0.7798826487845768,7.568514253759559,0.06536278575695624,0.5686018015631209
qwen3_1b7,maximal,last,3,15,0.03653496121121364,0.5086932043979335,0.7764459346186086,8.463799779752632,0.08768736157996074,0.5851823641100367
qwen3_1b7,maximal,last,4,16,0.02271750996556084,0.48724996688303085,0.7619446772841576,4.726045445138742,0.06914664968983415,0.5484059698856361
qwen3_1b7,maximal,last,5,16,0.0425214757765385,0.5803307281317613,0.7717518860016764,6.507841850090724,0.0650653363694796,0.5324546297522851
qwen3_1b7,maximal,last,6,12,0.020722562071417375,0.4639466596017133,0.777116512992456,7.979926152954154,0.03582897325411926,0.5200854417803683
qwen3_1b7,maximal,last,7,11,0.0437846524696628,0.47004570141740626,0.7670578373847443,5.045602406999505,0.053051366617062876,0.5292698812204707
qwen3_1b7,maximal,last,8,9,0.026319794774270287,0.4714310946262198,0.761609388097234,3.8310137699553346,0.057735777070318864,0.5268413034839051
qwen3_1b7,maximal,last,9,15,0.025659559025974575,0.474229478518126,0.7584241408214585,3.5820205498253572,0.012842379719095314,0.513048085839184
qwen3_1b7,maximal,last,10,14,0.023333741352200246,0.47395350377533446,0.7560771165129925,2.9121680858723358,0.026536945565156293,0.5084669051088444
qwen3_1b7,maximal,last,11,14,0.025531041342316454,0.5550238442177772,0.755406538139145,2.361419442814307,0.030862726773509822,0.5042886475029805
qwen3_1b7,maximal,last,12,15,0.009608275931333279,0.5469377842539851,0.7519698239731769,1.6061805638019773,0.022856845380455532,0.48032300083896323
qwen3_1b7,maximal,last,13,15,0.009786745305006077,0.5509118205501833,0.7487845766974015,0.8262224430661901,0.06200106589947757,0.4905947807656643
qwen3_1b7,maximal,last,14,14,0.02060528795119869,0.5644732194109595,0.7518860016764459,1.5346914190542262,0.0946527991210564,0.5190422572526162
qwen3_1b7,maximal,last,15,9,0.009750763571588399,0.5554819622908111,0.7624476110645432,5.403210123843499,0.07352542999969962,0.5141354263257827
qwen3_1b7,maximal,last,16,9,0.006845922586049752,0.5408166644588688,0.7563285834031852,2.6732704939435066,0.09665022986719939,0.5250088311917693
qwen3_1b7,maximal,last,17,6,0.052500043035056586,0.48918730957742745,0.7604358759430009,3.0812849080636657,0.027031527532971864,0.517386408795867
qwen3_1b7,maximal,last,18,8,0.0715347960688683,0.49133991257120146,0.7541492036881811,1.8089252863079517,0.010440405590063737,0.5192851150262728
qwen3_1b7,maximal,last,19,7,0.08904677696454334,0.5039740362961982,0.7673093042749373,5.7910983402574265,0.027937866876617753,0.5161224444738818
qwen3_1b7,maximal,last,20,13,0.07650657695640961,0.5472634344504791,0.7694048616932104,5.794842081500716,0.005648144757995921,0.5060824833311255
qwen3_1b7,maximal,last,21,14,0.04009275590264013,0.5303903386762043,0.7564962279966471,3.081023455714942,0.009999723695928546,0.4985097363889257
qwen3_1b7,maximal,last,22,12,0.1354903033240976,0.5521371484081777,0.7640402347024309,4.5218843022939765,0.016041046876424415,0.5012253278579945
qwen3_1b7,maximal,last,23,16,0.09314508134407988,0.5262727955137546,0.7487007544006706,0.6845113055434934,0.009389977425309731,0.47129310725482404
qwen3_1b7,maximal,last,24,15,0.13656565988750513,0.5685576456042742,0.7568315171835709,2.7385593391983005,0.013626350383812968,0.478992802578708
qwen3_1b7,maximal,last,25,11,0.08782194385134785,0.549416037444253,0.7688181056160939,5.668841963624172,0.02821796555315153,0.5137821786550095
qwen3_1b7,maximal,last,26,13,0.08234126445326119,0.5483507749370777,0.7653813914501257,5.212701510017878,0.04371494145541064,0.5248377268512385
qwen3_1b7,maximal,last,27,10,0.11680774340012293,0.5758820152779618,0.7707460184409053,6.84033462008505,0.002375846197795979,0.5025444871285379
qwen3_1b7,maximal,last,28,6,0.07010719476204487,0.5387468538879322,0.7700754400670579,4.805284717640377,0.02825908513609284,0.49406102353512604
qwen3_1b7,maximal,mean,0,7,0.26927624396921485,0.6927407603656114,0.7918692372170998,11.050085222634728,0.16728943730555484,0.5627069810570936
qwen3_1b7,maximal,mean,1,6,0.29921990378843016,0.7132070472910319,0.7911986588432522,11.917812239265555,0.22032022646770835,0.6231564887181525
