method,cleaning,pool,layer,ruler,n,pacc_loro,pacc_cross,drop
qwen,maximal,mean,1,Ashurbanipal,268,0.7012959773921491,0.5779369282619162,0.029369232127875566
qwen,maximal,mean,1,Esarhaddon,176,0.7232690864132114,0.7551311573888666,0.007396123106813257
qwen,maximal,mean,1,Nabonidus,68,0.7186713471983044,0.7801955284217473,0.011993862321720283
qwen,maximal,mean,1,Nabopolassar,15,0.7283194242062967,0.8366890380313199,0.002345785313727977
qwen,maximal,mean,1,Nebuchadnezzar I,10,0.7371616549653376,0.35249569707401035,-0.006496445445312915
qwen,maximal,mean,1,Nebuchadnezzar II,87,0.7078200203117411,0.8220910761026842,0.0228451892082836
qwen,maximal,mean,1,Sargon II,144,0.7355334039828675,0.7682329906999511,-0.004868194462842812
qwen,maximal,mean,1,Sennacherib,237,0.7220382390603612,0.7147344746184874,0.00862697045966343
qwen,maximal,mean,1,Shalmaneser V,12,0.7287278668256281,0.85297845373891,0.0019373426943966043
qwen,maximal,mean,1,Sîn-šarru-iškun,21,0.7325859937298539,0.5743639921722113,-0.0019207842098292183
qwen,maximal,mean,1,Tiglath-pileser III,75,0.7150450390780235,0.6790874524714829,0.015620170442001147
thalesian_cunei400m,maximal,mean,7,Ashurbanipal,268,0.6876849030776704,0.5091478093403948,-0.007109109374310085
thalesian_cunei400m,maximal,mean,7,Esarhaddon,176,0.611041197509604,0.6334100921105327,0.06953459619375635
thalesian_cunei400m,maximal,mean,7,Nabonidus,68,0.5646001677926437,0.6567321178120618,0.11597562591071664
thalesian_cunei400m,maximal,mean,7,Nabopolassar,15,0.6731299951428446,0.8134228187919463,0.007445798560515748
thalesian_cunei400m,maximal,mean,7,Nebuchadnezzar I,10,0.6175266039652051,0.20550774526678142,0.06304918973815521
thalesian_cunei400m,maximal,mean,7,Nebuchadnezzar II,87,0.6247185057623527,0.680957258287405,0.05585728794100764
thalesian_cunei400m,maximal,mean,7,Sargon II,144,0.632925994612973,0.6571830641213902,0.047649799090387246
thalesian_cunei400m,maximal,mean,7,Sennacherib,237,0.615147701682342,0.6000111526236547,0.06542809202101829
thalesian_cunei400m,maximal,mean,7,Shalmaneser V,12,0.636386717887579,0.8466413181242078,0.04418907581578135
thalesian_cunei400m,maximal,mean,7,Sîn-šarru-iškun,21,0.6143363359385349,0.5893672537508154,0.06623945776482543
thalesian_cunei400m,maximal,mean,7,Tiglath-pileser III,75,0.6034629310725482,0.6087705956907478,0.07711286263081207
thalesian_cunei400m,tier0,mean,6,Ashurbanipal,268,0.595575572923566,0.5499518536350505,0.04975272663045882
thalesian_cunei400m,tier0,mean,6,Esarhaddon,176,0.6155561443016735,0.6785142170604725,0.02977215525235133
thalesian_cunei400m,tier0,mean,6,Nabonidus,68,0.6357795734534375,0.7212069961224321,0.009548726100587324
thalesian_cunei400m,tier0,mean,6,Nabopolassar,15,0.42908553009228595,0.5525727069351231,0.21624276946173887
thalesian_cunei400m,tier0,mean,6,Nebuchadnezzar I,10,0.6649390647767917,0.23820998278829605,-0.019610765222766835
thalesian_cunei400m,tier0,mean,6,Nebuchadnezzar II,87,0.6180454364816532,0.31250711278024357,0.0272828630723716
thalesian_cunei400m,tier0,mean,6,Sargon II,144,0.6675001103898971,0.6339329417523251,-0.022171810835872274
thalesian_cunei400m,tier0,mean,6,Sennacherib,237,0.6174272530578001,0.6669826576702169,0.027901046496224713
thalesian_cunei400m,tier0,mean,6,Shalmaneser V,12,0.6492195434273855,0.8393536121673004,-0.0038912438733607058
thalesian_cunei400m,tier0,mean,6,Sîn-šarru-iškun,21,0.6272519539011789,0.46510110893672535,0.018076345652845882
thalesian_cunei400m,tier0,mean,6,Tiglath-pileser III,75,0.6617101602861306,0.5768314321926489,-0.01638186073210579
