entity_type,name,surname,full_count,surname_count,index_used,error
historical_figure,Bourvil,Bourvil,11446,11446,v4_olmo-mix-1124_llama,
historical_figure,Klabund,Klabund,2184,2184,v4_olmo-mix-1124_llama,
historical_figure,Fibonacci,Fibonacci,3563502,3563502,v4_olmo-mix-1124_llama,
historical_figure,Bonaventure,Bonaventure,471988,471988,v4_olmo-mix-1124_llama,
historical_figure,Albrecht,Albrecht,1577395,1577395,v4_olmo-mix-1124_llama,
historical_figure,Az-Zahir,Az-Zahir,6984,6984,v4_olmo-mix-1124_llama,
historical_figure,Al-Musta'sim,Al-Musta'sim,3976,3976,v4_olmo-mix-1124_llama,
historical_figure,Qasar,Qasar,14008,14008,v4_olmo-mix-1124_llama,
historical_figure,Baraq,Baraq,37385,37385,v4_olmo-mix-1124_llama,
historical_figure,Lothar,Lothar,713860,713860,v4_olmo-mix-1124_llama,
historical_figure,Otto,Otto,8493179,8493179,v4_olmo-mix-1124_llama,
historical_figure,Filippo,Filippo,791696,791696,v4_olmo-mix-1124_llama,
historical_figure,ユーリー,ユーリー,98,98,v4_olmo-mix-1124_llama,
historical_figure,胡祗遹,胡祗遹,0,0,v4_olmo-mix-1124_llama,
historical_figure,馮佐周,馮佐周,0,0,v4_olmo-mix-1124_llama,
historical_figure,千葉胤綱,千葉胤綱,1,1,v4_olmo-mix-1124_llama,
historical_figure,結城朝広,結城朝広,0,0,v4_olmo-mix-1124_llama,
historical_figure,Morgan,Morgan,36985647,36985647,v4_olmo-mix-1124_llama,
historical_figure,玄徳秀,玄徳秀,0,0,v4_olmo-mix-1124_llama,
historical_figure,Malikussaleh,Malikussaleh,883,883,v4_olmo-mix-1124_llama,
historical_figure,Wilhelm,Wilhelm,6323794,6323794,v4_olmo-mix-1124_llama,
historical_figure,Otto,Otto,8493179,8493179,v4_olmo-mix-1124_llama,
historical_figure,譚麟,譚麟,0,0,v4_olmo-mix-1124_llama,
historical_figure,梶原景高,梶原景高,0,0,v4_olmo-mix-1124_llama,
historical_figure,宋松禮,宋松禮,2,2,v4_olmo-mix-1124_llama,
historical_figure,Zhenjin,Zhenjin,5877,5877,v4_olmo-mix-1124_llama,
historical_figure,安丙,安丙,93,93,v4_olmo-mix-1124_llama,
historical_figure,Siegfried,Siegfried,1929749,1929749,v4_olmo-mix-1124_llama,
historical_figure,Cleopatra,Cleopatra,4218953,4218953,v4_olmo-mix-1124_llama,
historical_figure,Joseph,Joseph,65726256,65726256,v4_olmo-mix-1124_llama,
historical_figure,Rembrandt,Rembrandt,1761446,1761446,v4_olmo-mix-1124_llama,
historical_figure,Plato,Plato,16292401,16292401,v4_olmo-mix-1124_llama,
historical_figure,Eumenes,Eumenes,208482,208482,v4_olmo-mix-1124_llama,
historical_figure,Menelaus,Menelaus,652880,652880,v4_olmo-mix-1124_llama,
historical_figure,Timur,Timur,1189155,1189155,v4_olmo-mix-1124_llama,
historical_figure,Sigismund,Sigismund,485832,485832,v4_olmo-mix-1124_llama,
historical_figure,John,John,416569300,416569300,v4_olmo-mix-1124_llama,
historical_figure,Regiomontanus,Regiomontanus,55590,55590,v4_olmo-mix-1124_llama,
historical_figure,윤사로,윤사로,58,58,v4_olmo-mix-1124_llama,
historical_figure,Balthasar,Balthasar,383899,383899,v4_olmo-mix-1124_llama,
historical_figure,Jami,Jami,776349,776349,v4_olmo-mix-1124_llama,
historical_figure,Patrikas,Patrikas,728,728,v4_olmo-mix-1124_llama,
historical_figure,Uhwudong,Uhwudong,43,43,v4_olmo-mix-1124_llama,
historical_figure,Margareta,Margareta,103178,103178,v4_olmo-mix-1124_llama,
historical_figure,Athelstan,Athelstan,268746,268746,v4_olmo-mix-1124_llama,
historical_figure,Unni,Unni,131183,131183,v4_olmo-mix-1124_llama,
historical_figure,Theophano,Theophano,41396,41396,v4_olmo-mix-1124_llama,
historical_figure,Æthelflæd,Æthelflæd,37535,37535,v4_olmo-mix-1124_llama,
historical_figure,Eadgyth,Eadgyth,14392,14392,v4_olmo-mix-1124_llama,
historical_figure,Al-Qahir,Al-Qahir,992,992,v4_olmo-mix-1124_llama,
historical_figure,Al-Muttaqi,Al-Muttaqi,2470,2470,v4_olmo-mix-1124_llama,
