method,variant,site,m,macro,sd,spec
gpt_oss_120b,akk_maximal,mean,21,0.6417377749357979,0.045441997842090284,mean/m21
gpt_oss_120b,eng_tier0,mean,21,0.558830841749801,0.03705537886990907,mean/m21
llama2_13b,akk_maximal,mean,21,0.6730111419993974,0.035248578555720604,mean/m21
llama2_13b,eng_tier0,mean,21,0.6056629807432249,0.03978551325470669,mean/m21
llama2_13b_random,akk_maximal,mean,21,0.64007046940321,0.04231689580825218,mean/m21
llama2_13b_random,eng_tier0,mean,21,0.5846146754991282,0.03976037785581197,mean/m21
llama2_70b,akk_maximal,mean,21,0.6458348209295077,0.0401341290015368,mean/m21
llama2_70b,akk_maximal,mean,100,0.6545237348899943,0.04182060821365644,mean/m100
llama2_70b,eng_tier0,mean,21,0.5858341810332615,0.038966054799608574,mean/m21
llama2_70b,eng_tier0,mean,100,0.6005904019069312,0.038172113432957316,mean/m100
llama2_70b_random,akk_maximal,mean,21,0.6635862892714829,0.035023193961110186,mean/m21
llama2_70b_random,eng_tier0,mean,21,0.5767574193062306,0.03809022573091027,mean/m21
llama2_7b,akk_maximal,mean,21,0.6487509154437997,0.0433420800377472,mean/m21
llama2_7b,eng_tier0,mean,21,0.5838350685294943,0.03616101453199288,mean/m21
llama2_7b_random,akk_maximal,mean,21,0.6488865088595075,0.04485750954741566,mean/m21
llama2_7b_random,eng_tier0,mean,21,0.5808291909115028,0.038032931327576645,mean/m21
olmo2_7b,akk_maximal,mean,21,0.6611056560981075,0.04398978513218282,mean/m21
olmo2_7b,akk_maximal,mean,100,0.6569200288304289,0.02207017192968455,mean/m100
olmo2_7b,eng_tier0,mean,21,0.6151869531871818,0.036574583750879776,mean/m21
olmo2_7b,eng_tier0,mean,100,0.634426120280145,0.03493128208149422,mean/m100
olmo2_7b_random,akk_maximal,mean,21,0.6713077984014507,0.03920293813308839,mean/m21
olmo2_7b_random,eng_tier0,mean,21,0.5534604508444803,0.04356362486269115,mean/m21
qwen3_1b7,akk_maximal,mean,21,0.6602451074371437,0.03924527180094208,mean/m21
qwen3_1b7,eng_tier0,mean,21,0.5904479616950908,0.04225588403787475,mean/m21
qwen3_32b,akk_maximal,mean,21,0.6312621174596306,0.04207442069036429,mean/m21
qwen3_32b,eng_tier0,mean,21,0.6098091382103769,0.03874172699186135,mean/m21
qwen3_8b,akk_maximal,mean,21,0.6488279620557046,0.04220816868412959,mean/m21
qwen3_8b,akk_maximal,mean,100,0.615463447617121,0.04965547107252061,mean/m100
qwen3_8b,eng_tier0,mean,21,0.6266554901513804,0.04313625127591081,mean/m21
qwen3_8b,eng_tier0,mean,100,0.6355813259082107,0.023253213479002877,mean/m100
random,akk_maximal,mean,21,0.6624790124076892,0.042790019113305,mean/m21
random,eng_tier0,mean,21,0.57056600011076,0.04364656264032705,mean/m21
tfidf_char,akk_maximal,mean,21,0.6577879370211562,0.03816893497578301,mean/m21
tfidf_char,akk_maximal,mean,100,0.6257416285780012,0.056325860096370174,mean/m100
tfidf_char,eng_tier0,mean,21,0.586431966323262,0.037687083450113436,mean/m21
tfidf_char,eng_tier0,mean,100,0.5765195155135535,0.03831144995622761,mean/m100
