method,variant,site,best_layer,m,draws,macro_acc,macro_sd,micro_acc,auc,auc_sd,ruler_pairs_tested,acc_d0.0_25.0,acc_d200.0_inf,acc_d25.0_75.0,acc_d75.0_200.0
llama2_13b,akk_maximal,mean,11,21,100,0.6730111419993974,0.035248578555720604,0.6201975712989215,0.659300382726871,0.03979036451471894,139.59,0.49928657704800966,0.6627368654013156,0.5568113993967911,0.6498921288133772
olmo2_7b_random,akk_maximal,mean,15,21,100,0.6713077984014507,0.03920293813308839,0.5998744862967316,0.6343193890354429,0.04212218728729676,139.59,0.4729296845963621,0.6566619320378365,0.5421349761599855,0.6033831749094191
llama2_70b_random,akk_maximal,mean,13,21,100,0.6635862892714829,0.035023193961110186,0.5999842091378007,0.6373004162446931,0.04267854848477674,139.59,0.48333320861703094,0.6302376332449087,0.5586539919332121,0.6376469785949399
random,akk_maximal,mean,31,21,100,0.6624790124076892,0.042790019113305,0.5962562486066421,0.629527012578293,0.0480344451887712,139.59,0.44716252232111525,0.6415020363765845,0.565373154339277,0.6123879423595693
olmo2_7b,akk_maximal,mean,25,21,100,0.6611056560981075,0.04398978513218282,0.6045500077793818,0.6433159333455833,0.048884573649991284,139.59,0.49183152057986523,0.662204605579679,0.52825655279283,0.6164202047069987
qwen3_1b7,akk_maximal,mean,7,21,100,0.6602451074371437,0.03924527180094208,0.6048528428176171,0.6416190557360608,0.040596402597019424,139.59,0.5051476985108228,0.6276409814056235,0.5571169142058069,0.6419959418879034
tfidf_char,akk_maximal,mean,-1,21,100,0.6577879370211562,0.03816893497578301,0.6122099747399612,0.6524662716211661,0.03773608427547887,139.45,0.474644840378683,0.6433944443436,0.5622568059781055,0.661883131774698
olmo2_7b,akk_maximal,mean,25,100,10,0.6569200288304289,0.02207017192968455,0.5835809110911245,0.6051355855698484,0.03607442597940314,139.6,0.5333927021030394,0.6805398836526334,0.4826517021129038,0.6019939108465039
llama2_70b,akk_maximal,mean,29,100,10,0.6545237348899943,0.04182060821365644,0.582260885713926,0.6126158423040223,0.04083268672824278,139.6,0.4950820406075745,0.643795649085221,0.5231995141430199,0.6172124514643142
llama2_7b_random,akk_maximal,mean,23,21,100,0.6488865088595075,0.04485750954741566,0.5795109381395502,0.6129005475874151,0.04572632890817924,139.59,0.4649202273788237,0.6137236233610394,0.546514633575598,0.6028708724095335
qwen3_8b,akk_maximal,mean,25,21,100,0.6488279620557046,0.04220816868412959,0.5857913323314962,0.6133632385128523,0.046551994834139986,139.59,0.46119580198285914,0.6311923559180767,0.5421744538398713,0.5970030919670436
llama2_7b,akk_maximal,mean,9,21,100,0.6487509154437997,0.0433420800377472,0.5964064962824768,0.6320353801224616,0.043402747122464135,139.59,0.49216832310793346,0.6119777378212765,0.5683147869460953,0.6449527137969472
llama2_70b,akk_maximal,mean,9,21,100,0.6458348209295077,0.0401341290015368,0.5847509513586767,0.6201646564769245,0.04811012321739002,139.59,0.47073159015973903,0.6330575044902929,0.5279864188492912,0.5946827023962078
gpt_oss_120b,akk_maximal,mean,35,21,100,0.6417377749357979,0.045441997842090284,0.5899604208017023,0.623411057149585,0.046166271749631935,139.59,0.4821256893969441,0.6327417486893598,0.5463499611131972,0.6025493025899373
llama2_13b_random,akk_maximal,mean,17,21,100,0.64007046940321,0.04231689580825218,0.5625424050581812,0.5919665938760397,0.04470519483382955,139.59,0.4696523311228136,0.5983373744218163,0.5255977549133622,0.5756282876970548
qwen3_32b,akk_maximal,mean,53,21,100,0.6312621174596306,0.04207442069036429,0.5847234713871589,0.6009976721967693,0.04598703317843384,139.59,0.46314491728670143,0.6299192712353591,0.5316267276741048,0.5964490701875999
tfidf_char,akk_maximal,mean,-1,100,10,0.6257416285780012,0.056325860096370174,0.5994799777755737,0.636198927516537,0.05560121207550928,139.5,0.46213212110631624,0.6008082729429978,0.5464792568932426,0.7047951099073894
qwen3_8b,akk_maximal,mean,7,100,10,0.615463447617121,0.04965547107252061,0.556686091446001,0.5743034321638372,0.03512616429536335,139.6,0.5027738779073978,0.598058465776561,0.5066751712548141,0.5891569316386434
