arm,variant,rulers,target,hold_r2,hold_rho,mc_rho,mc_rho_sd,mc_r2,loro_rho,loro_r2
tfidf,akk_maximal,r8,year,0.634,0.793,0.707,0.038,0.503,0.129,0.049
tfidf,akk_maximal,r8,geo,0.163,0.426,0.413,0.059,0.211,0.318,0.082
tfidf,akk_maximal,r40,year,0.171,0.539,nan,nan,nan,0.171,-0.01
tfidf,akk_maximal,r40,geo,0.317,0.493,nan,nan,nan,0.429,0.186
tfidf,eng_maximal,r8,year,0.495,0.669,0.616,0.05,0.369,0.044,0.088
tfidf,eng_maximal,r8,geo,0.102,0.428,0.393,0.064,0.192,0.256,0.051
tfidf,eng_maximal,r40,year,0.024,0.421,nan,nan,nan,-0.093,-0.036
tfidf,eng_maximal,r40,geo,0.269,0.505,nan,nan,nan,0.307,0.111
random,akk_maximal,r8,year,0.343,0.482,0.499,0.064,0.285,0.048,-0.211
random,akk_maximal,r8,geo,0.095,0.28,0.263,0.069,0.081,0.2,0.029
random,akk_maximal,r40,year,0.145,0.372,nan,nan,nan,0.164,-0.201
random,akk_maximal,r40,geo,0.228,0.454,nan,nan,nan,0.284,0.118
random,eng_maximal,r8,year,0.338,0.53,0.425,0.066,0.233,0.12,-0.116
random,eng_maximal,r8,geo,0.089,0.324,0.252,0.07,0.074,0.236,-0.068
random,eng_maximal,r40,year,0.085,0.31,nan,nan,nan,0.107,-0.312
random,eng_maximal,r40,geo,0.229,0.353,nan,nan,nan,0.269,0.034
qwen3_1b7,akk_maximal,r8,year,0.339,0.459,0.37,0.068,0.151,0.055,-0.802
qwen3_1b7,akk_maximal,r8,geo,0.139,0.385,0.215,0.069,0.041,0.194,-0.791
qwen3_1b7,akk_maximal,r40,year,0.082,0.299,nan,nan,nan,0.075,-0.537
qwen3_1b7,akk_maximal,r40,geo,0.155,0.434,nan,nan,nan,0.294,0.117
qwen3_1b7,eng_maximal,r8,year,0.26,0.464,0.369,0.075,0.14,0.059,-0.83
qwen3_1b7,eng_maximal,r8,geo,0.123,0.406,0.215,0.079,0.027,0.202,0.008
qwen3_1b7,eng_maximal,r40,year,0.057,0.311,nan,nan,nan,0.075,-1.272
qwen3_1b7,eng_maximal,r40,geo,0.212,0.414,nan,nan,nan,0.245,0.071
qwen3_8b,akk_maximal,r8,year,0.386,0.533,0.396,0.079,0.082,0.065,-0.266
