arm,entity_type,site,rows,layer,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
llama2_70b,assyrian_ruler,ent_last,all,39,204,34,False,0.3890189107948713,0.5353801601090539,0.6866719876814468,0.21530121225378,0.3972531104596257,0.5225087533446574,0.6902863609323947,0.20972539369281212,0.471425439317398,0.4527788230127684
llama2_13b,assyrian_ruler,ent_last,all,40,204,34,False,0.21665762923530343,0.6457866270183391,0.5466837758723146,0.2697420116922222,0.24878090309381878,0.6326289328223819,0.5740665819148222,0.2664710056210908,0.6028600029764957,0.5716209869705666
llama2_7b,assyrian_ruler,ent_last,all,10,204,34,False,0.0008131315697280517,0.9068655202938322,0.4197829345982045,0.2844077013868555,0.013914487026370494,0.9819333576047186,0.4429326024038682,0.28081453949346374,0.3082324041743437,0.3594729918062326
gpt_oss_120b,assyrian_ruler,ent_last,all,16,204,34,False,0.397072935746053,0.4639922317290933,0.67012247972534,0.20432054012049108,0.38449753909236734,0.4713764400467848,0.6752444787752567,0.1942588570421068,0.6328891371817262,0.681623651129851
qwen3_32b,assyrian_ruler,ent_last,all,45,204,34,False,0.346725721546297,0.49559485555262595,0.6428722661798102,0.2228538885651589,0.3296519761475201,0.5121041946915329,0.6367582788191715,0.21769547553279195,0.415271452448314,0.3791163246918191
qwen3_8b,assyrian_ruler,ent_last,all,23,204,34,False,0.24049325018971993,0.5613312321929204,0.5525767757379906,0.24070982497641547,0.2569059603098236,0.527174646159679,0.5798269892835204,0.2332576902901323,0.592384732218123,0.5195661548237624
qwen3_1b7,assyrian_ruler,ent_last,all,27,204,34,False,-0.20713019314061856,0.9792542644994242,0.4011659658558899,0.2942028951132892,-0.00894881384995867,0.8963998348157647,0.4339997967741478,0.2838476140715149,0.10656578836612451,0.287774826773842
thalesian_cunei400m,assyrian_ruler,ent_last,all,12,204,34,False,-0.26455405482626937,1.1909099313817033,0.3555099493965656,0.3341382511367702,-0.18654236853256634,1.1040036421052986,0.38464592289911176,0.32824278611822255,-0.25103489595589035,0.09625233113937377
thalesian_akk300m,assyrian_ruler,ent_last,all,2,204,34,False,-0.5513653579366572,1.6756385775851834,0.3383023897887918,0.3791066644445406,-0.3342023209421429,1.097431177859362,0.2936629158062965,0.34643535521286983,-0.061362984259143216,0.19348682892302688
umt5_base,assyrian_ruler,ent_last,all,12,204,34,False,-0.4866171549636812,1.8208953204900438,0.2735334104317918,0.31419782664694307,-0.43200627077096454,1.6584493573055594,0.28063447526993124,0.3115620029955464,0.04928719910017487,0.2406308278484344
random,assyrian_ruler,ent_last,all,1,204,34,True,-0.17030176359968918,1.0606104509302963,0.32238146848502397,0.3204424602823846,-0.16681344353736038,1.0517120706479899,0.32839232834801346,0.3177743206153294,-1.1311668413786284,-0.19054032899018886
llama2_7b_random,assyrian_ruler,ent_last,all,1,204,34,True,0.08924669148174946,0.695884597875031,0.48933997634606624,0.24844047354643298,0.07994254635578554,0.6972456188542233,0.4810259357022417,0.24863368170045558,-0.5920985631862075,0.2396486612041551
llama2_13b_random,assyrian_ruler,ent_last,all,3,204,34,True,-0.01917481864874847,0.8489220633679977,0.4805495848797663,0.22923304348052398,-0.02053859607666767,0.8473474388052709,0.47878659575328497,0.22906764533624097,-0.719089800277289,0.31920415939078034
llama2_70b_random,assyrian_ruler,ent_last,all,1,204,34,True,-0.001571980496380454,0.7791545542181778,0.4681595526621827,0.2873266104004566,-0.002245208183520342,0.7759674568054987,0.4691368084732406,0.28566040529792214,-0.6746702767722481,0.38402715791321573
olmo2_7b,assyrian_ruler,ent_last,all,9,204,34,False,-0.0032538795452238477,1.0284384534684143,0.4812862098629758,0.2974732501512473,0.0311434665380754,0.9456665538617325,0.4878961913789756,0.29870415854289906,0.03678785925815364,0.28286399355244535
olmo2_7b_random,assyrian_ruler,ent_last,all,2,204,34,False,-0.03705530727245522,0.8717746990787254,0.3978658859311114,0.30553223473449065,-0.04229951794381989,0.8872325212142844,0.39188940190067173,0.30668320565246,-0.4985512820583049,0.16500399623892645
llama2_70b,assyrian_ruler,ent_last,bare,45,34,34,False,0.38825906966473306,0.5555302227622972,0.7007142857142858,0.21525258063351474,0.3929705257379059,0.5632526425962932,0.7025000000000001,0.21562409420099607,0.6143087489513317,0.5714285714285715
llama2_13b,assyrian_ruler,ent_last,bare,21,34,34,False,0.1780043878654055,0.6457377196223136,0.6182142857142858,0.25305253749902196,0.17045493263198505,0.6488107380065561,0.5839285714285716,0.26014492624893004,0.15665213949004686,1.0
llama2_7b,assyrian_ruler,ent_last,bare,22,34,34,False,0.07456824581739277,0.9344249190089577,0.5266071428571429,0.27386122053376766,0.015282865620654703,1.077457724145775,0.48946428571428574,0.2944381864895675,0.34763228876769914,0.6785714285714287
gpt_oss_120b,assyrian_ruler,ent_last,bare,11,34,34,False,0.36998977744288325,0.5911511113262111,0.6632142857142859,0.23379930997960366,0.371354597017567,0.5969411611229389,0.6628571428571429,0.23152775652352428,0.2144164103936227,0.5357142857142858
qwen3_32b,assyrian_ruler,ent_last,bare,53,34,34,False,0.34615888753262497,0.47496762463947934,0.6269642857142859,0.23424045457867543,0.3585686819905496,0.4884880669724069,0.6242857142857143,0.2417506304995683,0.524852258676883,0.3214285714285715
qwen3_8b,assyrian_ruler,ent_last,bare,26,34,34,False,0.21543091932201178,0.7648943301185381,0.5958928571428572,0.23707877522727616,0.22938259274480535,0.704062597943519,0.5758928571428572,0.2435896908738135,0.14478620517503238,0.14285714285714288
qwen3_1b7,assyrian_ruler,ent_last,bare,25,34,34,False,0.04741292096469471,1.0300486822732098,0.46071428571428585,0.3319123624189534,0.030906314037457746,0.9353581687939838,0.4385714285714286,0.33917592208535235,0.31932705961199825,0.3214285714285715
thalesian_cunei400m,assyrian_ruler,ent_last,bare,12,34,34,False,0.032173072293079134,0.8539516949258198,0.45571428571428585,0.3411273327408069,-0.04912693892503708,1.0778612860677594,0.4162500000000001,0.3553454323267857,-0.33239938753009346,0.5
thalesian_akk300m,assyrian_ruler,ent_last,bare,7,34,34,False,-0.02192072116374918,0.9367929003599265,0.4883928571428573,0.3295199333569851,-0.049758180394404786,1.1872101177139522,0.4417857142857144,0.332915958936014,-0.2879675197079541,0.14285714285714288
umt5_base,assyrian_ruler,ent_last,bare,1,34,34,False,-0.11565051506678792,0.8825715759867644,0.39160714285714293,0.33655626747019496,-0.4577229718517404,1.4459165258806652,0.2814285714285715,0.37030324032597717,-0.29021210213571647,0.0
random,assyrian_ruler,ent_last,bare,22,34,34,True,-0.315313332487771,1.2496549629218658,0.17125000000000007,0.38906116557840176,-0.30791851042239843,1.2502182219282305,0.1741071428571429,0.3936993812620519,-0.8764325611388362,-0.25
llama2_7b_random,assyrian_ruler,ent_last,bare,1,34,34,True,0.012443357163350917,0.8103201649226124,0.4733928571428572,0.29023208297808145,0.012413063391251793,0.8102874456993678,0.4741071428571429,0.29001094059236,-0.5103566592998376,0.14285714285714288
llama2_13b_random,assyrian_ruler,ent_last,bare,1,34,34,True,-0.10793259393749598,1.0546439787956983,0.3885714285714286,0.3172659027712,-0.10410407895389785,1.0552776751903186,0.3889285714285715,0.31704933466614454,-0.6852028165954178,0.5714285714285715
llama2_70b_random,assyrian_ruler,ent_last,bare,1,34,34,True,-0.053617396693221464,0.9442383212424221,0.45732142857142866,0.3285849667241989,-0.05020161448598378,0.9400071902602464,0.45714285714285724,0.32843553090246447,-0.6317511312399642,0.3214285714285715
olmo2_7b,assyrian_ruler,ent_last,bare,22,34,34,False,0.05049009106220561,0.78522626093408,0.5264285714285716,0.30646186965268685,-0.041364692605948716,0.9346368915754405,0.4207142857142858,0.3302588656907593,0.01280604168613686,0.4642857142857144
olmo2_7b_random,assyrian_ruler,ent_last,bare,3,34,34,False,-0.14822184177629588,0.9942218375398892,0.3814285714285715,0.3455393595230388,-0.11629516448101829,0.9839948839230496,0.38071428571428584,0.3446093618068116,-0.7350107683098546,-0.03571428571428572
llama2_70b,assyrian_ruler,ent_mean,all,77,204,34,False,-0.2577680647765018,1.6069950283932206,0.4230093520246621,0.351820460176948,-0.11978902714382322,1.5645371613302919,0.4471804731403763,0.33175665851013575,0.21125501722320195,0.5352808211322316
llama2_13b,assyrian_ruler,ent_mean,all,13,204,34,False,-0.2599471621305337,1.8203732700098159,0.4216981595545492,0.3454819985706771,-0.3247123239946362,2.028931549826401,0.3935296201966182,0.3310161394339736,0.11523845040979286,0.36929465824902585
llama2_7b,assyrian_ruler,ent_mean,all,31,204,34,False,-0.35568450360228865,1.7770979358404964,0.39081392942518584,0.34440271303495495,-0.22513585629327842,1.8629008387119845,0.4342944467674315,0.3264637382516208,0.07982880437222528,0.424295990328668
gpt_oss_120b,assyrian_ruler,ent_mean,all,15,204,34,False,-0.14051845393270201,1.6599859335250513,0.4736695075365897,0.3039002424875965,-0.12997599949585412,1.6992314941815339,0.49247308794131733,0.296012631564095,-0.450749747461785,0.1384854968433847
qwen3_32b,assyrian_ruler,ent_mean,all,41,204,34,False,-0.2666141980228708,1.8972493778085313,0.4157511405234379,0.31765240229537484,-0.22218824393378572,2.03537398742428,0.4288286893920171,0.32167159685930297,-0.628176218300921,-0.3015251597937525
qwen3_8b,assyrian_ruler,ent_mean,all,16,204,34,False,-0.36882331718884326,2.3206711563500115,0.3804422496615962,0.3411995855681267,-0.3160927753910687,2.3158145407644466,0.4065433282333193,0.32365946709726573,-0.7245117694134784,-0.4842081556297068
qwen3_1b7,assyrian_ruler,ent_mean,all,28,204,34,False,-0.3973316123049068,2.2954004965007124,0.3220377101595262,0.3656491416860853,-0.3684180769404772,2.3433368193889113,0.3600377376266933,0.33664166041186744,-0.4460975022311624,-0.14928932993045727
thalesian_cunei400m,assyrian_ruler,ent_mean,all,12,204,34,False,-0.37933334351589926,1.534953562584461,0.3759930347630108,0.33455608822740857,-0.2748407499804336,1.5069343050996329,0.40941125483461493,0.3212822491427745,-0.6220931485313876,-0.1296459970448708
thalesian_akk300m,assyrian_ruler,ent_mean,all,8,204,34,False,-1.090121941009684,1.983894231540398,0.14463386003657328,0.3502239512558737,-0.5974737755630578,1.8934485088403676,0.2905396258774882,0.33306481689738976,-1.8958881087998352,-0.6551051517343092
umt5_base,assyrian_ruler,ent_mean,all,11,204,34,False,-0.3857862771179164,1.6875164449841855,0.34610570377759103,0.3040792180079294,-0.34884052457296105,1.6110786923118883,0.3226220993128724,0.30510283900456164,-0.4639668604642482,-0.030447165972659052
random,assyrian_ruler,ent_mean,all,35,204,34,True,-0.6192242452655367,2.1188738094306134,0.09102229375858636,0.27984826708051375,-0.5927310274708671,2.032671315371637,0.08073900899298185,0.2760867693832006,-0.7614919190756715,0.0775911648980666
llama2_7b_random,assyrian_ruler,ent_mean,all,7,204,34,True,-0.35790740889202644,1.6887124742806625,0.3191452293921236,0.3040059092188375,-0.353471449103139,1.7953635270002062,0.3429824138487828,0.3187086205724476,-0.5796763144696766,0.24554166106983102
llama2_13b_random,assyrian_ruler,ent_mean,all,2,204,34,True,-0.33859259471311665,1.7018125804328272,0.3294334249909495,0.3161073290125042,-0.31643752754258164,1.7859856351255607,0.3527304177932551,0.32397118754797105,-0.8147346829540603,0.13750333019910538
llama2_70b_random,assyrian_ruler,ent_mean,all,1,204,34,True,-0.3756447399333013,1.6805701610243589,0.2742553029153371,0.3393285829007296,-0.35902956584835316,1.6406989752724137,0.27860139031627307,0.3396280198982643,-0.6490057557679751,0.15714666308469186
olmo2_7b,assyrian_ruler,ent_mean,all,8,204,34,False,-0.4787284415526788,2.079232766781722,0.34331143967461636,0.36493894577880903,-0.2723601133768394,2.060502827808419,0.4274340127571405,0.35451188628323876,-0.6661153208375474,-0.3447404921420428
olmo2_7b_random,assyrian_ruler,ent_mean,all,18,204,34,False,-0.424454432371158,1.6198876879801862,0.3101534937637464,0.3172043365433835,-0.34184476650808904,1.5956627685030356,0.3393631297646135,0.3331138164425963,-0.559810432033365,0.2926856599952386
