row,r8 hold R²,r8 MC ρ,r8 LORO ρ,r40 hold R²,r40 LORO ρ
llama2_70b · akk_maximal,0.148,,,0.165,
llama2_70b · eng_maximal,0.176,,,0.241,
llama2_13b · akk_maximal,0.156,,,0.138,
llama2_13b · eng_maximal,0.155,,,0.238,
llama2_7b · akk_maximal,0.179,,,0.155,
llama2_7b · eng_maximal,0.165,,,0.245,
qwen3_32b · akk_maximal,0.123,,,0.162,
qwen3_32b · eng_maximal,0.103,,,0.202,
qwen3_8b · akk_maximal,0.175,,,0.155,
qwen3_8b · eng_maximal,0.147,,,0.203,
qwen3_1b7 · akk_maximal,0.139,,,0.155,
qwen3_1b7 · eng_maximal,0.123,,,0.212,
llama2_70b_random · akk_maximal,0.018,,,0.164,
llama2_70b_random · eng_maximal,-0.031,,,0.096,
llama2_13b_random · akk_maximal,0.087,,,0.192,
llama2_13b_random · eng_maximal,0.049,,,0.177,
llama2_7b_random · akk_maximal,0.096,,,0.205,
llama2_7b_random · eng_maximal,0.08,,,0.186,
random · akk_maximal,0.095,,,0.228,
random · eng_maximal,0.089,,,0.229,
tfidf · akk_maximal,0.163,0.413,0.318,0.317,0.429
tfidf · eng_maximal,0.102,0.393,0.256,0.269,0.307
