row,r8 hold R²,r8 MC ρ,r8 LORO ρ,r40 hold R²,r40 LORO ρ
llama2_70b · akk_maximal,0.428,,,0.152,
llama2_70b · eng_maximal,0.407,,,0.068,
llama2_13b · akk_maximal,0.417,,,0.114,
llama2_13b · eng_maximal,0.411,,,0.074,
llama2_7b · akk_maximal,0.418,,,0.122,
llama2_7b · eng_maximal,0.382,,,0.092,
qwen3_32b · akk_maximal,0.316,,,0.146,
qwen3_32b · eng_maximal,0.336,,,0.081,
qwen3_8b · akk_maximal,0.386,,,0.091,
qwen3_8b · eng_maximal,0.297,,,0.057,
qwen3_1b7 · akk_maximal,0.339,,,0.082,
qwen3_1b7 · eng_maximal,0.26,,,0.057,
llama2_70b_random · akk_maximal,0.224,,,0.046,
llama2_70b_random · eng_maximal,0.132,,,0.052,
llama2_13b_random · akk_maximal,0.291,,,0.155,
llama2_13b_random · eng_maximal,0.256,,,0.111,
llama2_7b_random · akk_maximal,0.355,,,0.106,
llama2_7b_random · eng_maximal,0.351,,,0.083,
random · akk_maximal,0.343,,,0.145,
random · eng_maximal,0.338,,,0.085,
tfidf · akk_maximal,0.634,0.707,0.129,0.171,0.171
tfidf · eng_maximal,0.495,0.616,0.044,0.024,-0.093
