name,entity_ix,template,entity_string,ent_start,ent_end,death_year,n_texts,is_test
Ashurbanipal,0,bare,Ashurbanipal,0,12,631.0,266,False
Ashurbanipal,0,t1,The king Ashurbanipal ruled over the land.,9,21,631.0,266,False
Ashurbanipal,0,t2,An inscription commissioned by Ashurbanipal.,31,43,631.0,266,False
Ashurbanipal,0,t3,This tablet dates to the reign of Ashurbanipal.,34,46,631.0,266,False
Ashurbanipal,0,t4,The royal annals of Ashurbanipal were compiled by his scribes.,20,32,631.0,266,False
Ashurbanipal,0,t5,Tribute was delivered to Ashurbanipal by the governors.,25,37,631.0,266,False
Sennacherib,1,bare,Sennacherib,0,11,681.0,235,False
Sennacherib,1,t1,The king Sennacherib ruled over the land.,9,20,681.0,235,False
Sennacherib,1,t2,An inscription commissioned by Sennacherib.,31,42,681.0,235,False
Sennacherib,1,t3,This tablet dates to the reign of Sennacherib.,34,45,681.0,235,False
Sennacherib,1,t4,The royal annals of Sennacherib were compiled by his scribes.,20,31,681.0,235,False
Sennacherib,1,t5,Tribute was delivered to Sennacherib by the governors.,25,36,681.0,235,False
Esarhaddon,2,bare,Esarhaddon,0,10,669.0,176,False
Esarhaddon,2,t1,The king Esarhaddon ruled over the land.,9,19,669.0,176,False
Esarhaddon,2,t2,An inscription commissioned by Esarhaddon.,31,41,669.0,176,False
Esarhaddon,2,t3,This tablet dates to the reign of Esarhaddon.,34,44,669.0,176,False
Esarhaddon,2,t4,The royal annals of Esarhaddon were compiled by his scribes.,20,30,669.0,176,False
Esarhaddon,2,t5,Tribute was delivered to Esarhaddon by the governors.,25,35,669.0,176,False
Sargon II,3,bare,Sargon II,0,9,705.0,144,False
Sargon II,3,t1,The king Sargon II ruled over the land.,9,18,705.0,144,False
Sargon II,3,t2,An inscription commissioned by Sargon II.,31,40,705.0,144,False
Sargon II,3,t3,This tablet dates to the reign of Sargon II.,34,43,705.0,144,False
Sargon II,3,t4,The royal annals of Sargon II were compiled by his scribes.,20,29,705.0,144,False
Sargon II,3,t5,Tribute was delivered to Sargon II by the governors.,25,34,705.0,144,False
Nebuchadnezzar II,4,bare,Nebuchadnezzar II,0,17,562.0,86,False
Nebuchadnezzar II,4,t1,The king Nebuchadnezzar II ruled over the land.,9,26,562.0,86,False
Nebuchadnezzar II,4,t2,An inscription commissioned by Nebuchadnezzar II.,31,48,562.0,86,False
Nebuchadnezzar II,4,t3,This tablet dates to the reign of Nebuchadnezzar II.,34,51,562.0,86,False
