,headline,word_count,pub_date,print_section,print_page,section,news_desk,year,is_trump,is_biden,is_coronavirus,is_covid,is_obama,is_clinton,is_iraq,is_afghanistan,is_china,is_iran,is_test
28,C.I.A. Takes On Bigger and Riskier Role on Front Lines.,1018,2010-01-01T01:57:51+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
90,Bomb Takes Heavy Toll at Pakistan Sports Event.,968,2010-01-01T08:41:24+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
108,Standoff in Iran Deepens With New Show of Force.,1102,2010-01-01T16:22:24+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,False
181,Different Taliban Groups Claim Role in Afghanistan Bombing.,582,2010-01-02T00:36:05+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,True,False,False,False
215,Fragile Calm Holds in Darfur After Years of Death.,1084,2010-01-02T01:55:56+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
229,"In Russia, a New Year and a New Price for Vodka.",306,2010-01-02T02:32:43+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
292,Many Karzai Afghan Cabinet Choices Are Rejected.,794,2010-01-02T17:19:43+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
293,Cartoonist in Denmark Calls Attack ‘Really Close’.,1399,2010-01-02T17:22:15+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
295,U.S. Sees an Opportunity to Press Iran on Nuclear Fuel.,1541,2010-01-02T17:32:46+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,True
296,Yemen’s Chaos Aids the Evolution of a Qaeda Cell.,1817,2010-01-02T17:35:06+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
327,"For Shanghai Fair, Famous Fund-Raiser Delivers.",1108,2010-01-02T21:48:04+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
407,"Threats Led to Embassy Closings in Yemen, Officials Say.",1279,2010-01-03T12:45:49+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
420,Iraq Says Deal Is Near on the Last of 5 Hostages.,564,2010-01-03T20:07:45+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
466,Americans’ Role Seen in Uganda Anti-Gay Push.,1131,2010-01-04T01:53:01+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
482,Hazaras Hustle to Head of Class in Afghanistan.,1149,2010-01-04T02:36:20+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,True,False,False,False
