wiki_id,name,description,gender,country,occupation,birth_year,death_year,cause_of_death,age,death_century,death_decade,is_test
Q23,George Washington,1st president of the United States (1732–1799),Male,United States of America; Kingdom of Great Britain,politician,1732,1799.0,natural causes,67.0,1700,179.0,False
Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,artist,1952,2001.0,natural causes,49.0,2000,200.0,False
Q91,Abraham Lincoln,16th president of the United States (1809-1865),Male,United States of America,politician,1809,1865.0,homicide,56.0,1800,186.0,False
Q254,Wolfgang Amadeus Mozart,Austrian composer of the Classical period,Male,Archduchy of Austria; Archbishopric of Salzburg,artist,1756,1791.0,,35.0,1700,179.0,True
Q255,Ludwig van Beethoven,German classical and romantic composer,Male,Holy Roman Empire; Austrian Empire,artist,1770,1827.0,,57.0,1800,182.0,False
Q260,Jean-François Champollion,French classical scholar,Male,Kingdom of France; First French Empire,egyptologist,1790,1832.0,natural causes,42.0,1800,183.0,False
Q272,Paul Morand,French writer,Male,France,artist,1888,1976.0,,88.0,1900,197.0,False
Q296,Claude Monet,French impressionist painter (1840-1926),Male,France,artist,1840,1926.0,natural causes,86.0,1900,192.0,True
Q297,Diego Velázquez,Spanish painter (1599-1660),Male,Spain,artist,1599,1660.0,,61.0,1600,166.0,False
Q301,El Greco,"Greek painter, sculptor and architect",Male,Spain; Republic of Venice,artist,1541,1614.0,,73.0,1600,161.0,False
Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States of America,artist,1935,1977.0,natural causes,42.0,1900,197.0,False
Q307,Galileo Galilei,"Italian mathematician, physicist, philosopher and astronomer",Male,Grand Duchy of Tuscany; Duchy of Florence,astronomer,1564,1642.0,,78.0,1600,164.0,False
Q335,Patricio Aylwin,Chilean politician and former president (1918-2016),Male,Chile,politician,1918,2016.0,,98.0,2000,201.0,False
Q346,Louis IX of France,king of France,Male,France,ruler,1214,1270.0,natural causes,56.0,1200,127.0,True
Q352,Adolf Hitler,"Austrian-born German politician, chancellor and Führer of Germany, leader of the Nazi Party (1889-1945)",Male,Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria,statesperson,1889,1945.0,suicide,56.0,1900,194.0,True
Q353,Blanche of Castile,"Spanish princess and saint, queen consort of France",Female,Kingdom of Castile,regent,1188,1252.0,,64.0,1200,125.0,False
Q354,Piet Kraak,Dutch footballer (1921-1984),Male,Kingdom of the Netherlands,athlete,1921,1984.0,,63.0,1900,198.0,False
Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,politician,1915,2006.0,natural causes,91.0,2000,200.0,False
Q377,Yanka Kupala,Belarusian writer (1882-1942),Male,Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic,artist,1882,1942.0,,60.0,1900,194.0,True
Q379,František Plánička,Czech association football player (1904-1996),Male,Czech Republic; Czechoslovakia,athlete,1904,1996.0,,92.0,1900,199.0,False
Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States of America,artist,1949,2002.0,accident,53.0,2000,200.0,False
Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,artist,1945,1981.0,natural causes,36.0,1900,198.0,False
