name,entity_ix,template,entity_string,ent_start,ent_end,longitude,latitude,region,n_texts,is_test
Nineveh,0,bare,Nineveh,0,7,43.153,36.359,Assyria,495,False
Nineveh,0,t1,The city of Nineveh stood on the river.,12,19,43.153,36.359,Assyria,495,False
Nineveh,0,t2,A tablet excavated at Nineveh.,22,29,43.153,36.359,Assyria,495,False
Nineveh,0,t3,The temple at Nineveh was rebuilt.,14,21,43.153,36.359,Assyria,495,False
Nineveh,0,t4,Merchants travelled to Nineveh with their goods.,23,30,43.153,36.359,Assyria,495,False
Nineveh,0,t5,The provincial governor resided in Nineveh.,35,42,43.153,36.359,Assyria,495,False
Babylon,1,bare,Babylon,0,7,44.421,32.542,Babylonia,120,False
Babylon,1,t1,The city of Babylon stood on the river.,12,19,44.421,32.542,Babylonia,120,False
Babylon,1,t2,A tablet excavated at Babylon.,22,29,44.421,32.542,Babylonia,120,False
Babylon,1,t3,The temple at Babylon was rebuilt.,14,21,44.421,32.542,Babylonia,120,False
Babylon,1,t4,Merchants travelled to Babylon with their goods.,23,30,44.421,32.542,Babylonia,120,False
Babylon,1,t5,The provincial governor resided in Babylon.,35,42,44.421,32.542,Babylonia,120,False
Assur,2,bare,Assur,0,5,43.26,35.456,Assyria,99,False
Assur,2,t1,The city of Assur stood on the river.,12,17,43.26,35.456,Assyria,99,False
Assur,2,t2,A tablet excavated at Assur.,22,27,43.26,35.456,Assyria,99,False
Assur,2,t3,The temple at Assur was rebuilt.,14,19,43.26,35.456,Assyria,99,False
Assur,2,t4,Merchants travelled to Assur with their goods.,23,28,43.26,35.456,Assyria,99,False
Assur,2,t5,The provincial governor resided in Assur.,35,40,43.26,35.456,Assyria,99,False
Kalhu,3,bare,Kalhu,0,5,43.328,36.099,Assyria,98,False
Kalhu,3,t1,The city of Kalhu stood on the river.,12,17,43.328,36.099,Assyria,98,False
Kalhu,3,t2,A tablet excavated at Kalhu.,22,27,43.328,36.099,Assyria,98,False
Kalhu,3,t3,The temple at Kalhu was rebuilt.,14,19,43.328,36.099,Assyria,98,False
Kalhu,3,t4,Merchants travelled to Kalhu with their goods.,23,28,43.328,36.099,Assyria,98,False
Kalhu,3,t5,The provincial governor resided in Kalhu.,35,40,43.328,36.099,Assyria,98,False
Dur-Šarrukin,4,bare,Dur-Šarrukin,0,12,43.229,36.509,Assyria,59,False
Dur-Šarrukin,4,t1,The city of Dur-Šarrukin stood on the river.,12,24,43.229,36.509,Assyria,59,False
Dur-Šarrukin,4,t2,A tablet excavated at Dur-Šarrukin.,22,34,43.229,36.509,Assyria,59,False
Dur-Šarrukin,4,t3,The temple at Dur-Šarrukin was rebuilt.,14,26,43.229,36.509,Assyria,59,False
Dur-Šarrukin,4,t4,Merchants travelled to Dur-Šarrukin with their goods.,23,35,43.229,36.509,Assyria,59,False
Dur-Šarrukin,4,t5,The provincial governor resided in Dur-Šarrukin.,35,47,43.229,36.509,Assyria,59,False
Babylonia,5,bare,Babylonia,0,9,44.4,32.5,Babylonia,30,True
Babylonia,5,t1,The city of Babylonia stood on the river.,12,21,44.4,32.5,Babylonia,30,True
Babylonia,5,t2,A tablet excavated at Babylonia.,22,31,44.4,32.5,Babylonia,30,True
Babylonia,5,t3,The temple at Babylonia was rebuilt.,14,23,44.4,32.5,Babylonia,30,True
Babylonia,5,t4,Merchants travelled to Babylonia with their goods.,23,32,44.4,32.5,Babylonia,30,True
Babylonia,5,t5,The provincial governor resided in Babylonia.,35,44,44.4,32.5,Babylonia,30,True
Sippar,6,bare,Sippar,0,6,44.243,33.06,Babylonia,29,True
Sippar,6,t1,The city of Sippar stood on the river.,12,18,44.243,33.06,Babylonia,29,True
Sippar,6,t2,A tablet excavated at Sippar.,22,28,44.243,33.06,Babylonia,29,True
Sippar,6,t3,The temple at Sippar was rebuilt.,14,20,44.243,33.06,Babylonia,29,True
Sippar,6,t4,Merchants travelled to Sippar with their goods.,23,29,44.243,33.06,Babylonia,29,True
Sippar,6,t5,The provincial governor resided in Sippar.,35,41,44.243,33.06,Babylonia,29,True
Luristan,7,bare,Luristan,0,8,48.3,33.5,Iran/Zagros,27,False
Luristan,7,t1,The city of Luristan stood on the river.,12,20,48.3,33.5,Iran/Zagros,27,False
Luristan,7,t2,A tablet excavated at Luristan.,22,30,48.3,33.5,Iran/Zagros,27,False
Luristan,7,t3,The temple at Luristan was rebuilt.,14,22,48.3,33.5,Iran/Zagros,27,False
Luristan,7,t4,Merchants travelled to Luristan with their goods.,23,31,48.3,33.5,Iran/Zagros,27,False
Luristan,7,t5,The provincial governor resided in Luristan.,35,43,48.3,33.5,Iran/Zagros,27,False
Borsippa,8,bare,Borsippa,0,8,44.341,32.388,Babylonia,24,False
