arm,A_entity_salient_EN,B_entity_obscure_EN,B_fragment_EN_gloss,C_fragment_Akkadian
llama2_70b,0.921,0.719,0.544,0.331
gpt_oss_120b,0.901,0.663,0.418,0.372
llama2_13b,0.9,0.618,0.518,0.403
qwen3_32b,0.892,0.641,0.533,0.312
llama2_7b,0.885,0.527,0.54,0.433
qwen3_8b,0.873,0.608,0.557,0.396
qwen3_1b7,0.817,0.51,0.474,0.37
thalesian_cunei400m,0.674,0.509,0.626,0.699
thalesian_akk300m,0.67,0.567,0.74,0.444
umt5_base,0.698,0.427,0.654,0.488
random,0.504,0.171,0.532,0.499
llama2_7b_random,0.513,0.536,0.439,0.438
llama2_13b_random,0.509,0.407,0.374,0.369
llama2_70b_random,0.469,0.457,0.288,0.305
tfidf,0.798,0.344,0.775,0.707
