level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_70b,0.3311
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_70b,0.1155
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_70b,0.5376
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,llama2_70b,0.2994
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,llama2_70b,0.5443
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,llama2_70b,0.0374
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,llama2_70b,0.7228
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,llama2_70b,0.5583
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,gpt_oss_120b,0.3724
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,gpt_oss_120b,0.1467
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,gpt_oss_120b,0.573
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,gpt_oss_120b,0.3077
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,gpt_oss_120b,0.4181
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,gpt_oss_120b,0.1833
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,gpt_oss_120b,0.6915
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,gpt_oss_120b,0.4776
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_13b,0.4026
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_13b,0.1893
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_13b,0.2449
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,llama2_13b,0.0052
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,llama2_13b,0.5184
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,llama2_13b,0.2327
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,llama2_13b,0.377
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,llama2_13b,0.0116
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,qwen3_32b,0.3119
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,qwen3_32b,0.1114
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,qwen3_32b,0.5763
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,qwen3_32b,0.3603
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,qwen3_32b,0.5333
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,qwen3_32b,0.2875
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,qwen3_32b,0.7374
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,qwen3_32b,0.549
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_7b,0.433
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_7b,0.2301
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_7b,0.3916
