level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.0837
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_70b,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.2006
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_70b,-0.2212
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.1884
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_70b,-0.2212
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.3268
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_70b,-0.221
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.0942
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,gpt_oss_120b,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.1927
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,gpt_oss_120b,-0.2212
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.073
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,gpt_oss_120b,-0.2213
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.2042
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,gpt_oss_120b,-0.2211
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.1088
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_13b,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.2125
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_13b,-0.2211
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.141
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_13b,-0.2211
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.2075
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_13b,-0.2211
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.0219
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,qwen3_32b,-0.2213
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.1538
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,qwen3_32b,-0.2212
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.0635
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,qwen3_32b,-0.2214
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.322
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,qwen3_32b,-0.2212
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.1207
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_7b,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.2075
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_7b,-0.221
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.1943
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_7b,-0.2211
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.3234
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_7b,-0.2208
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.1431
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,qwen3_8b,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.2733
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,qwen3_8b,-0.2211
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.1503
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,qwen3_8b,-0.2213
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.2401
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,qwen3_8b,-0.2212
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.0615
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,qwen3_1b7,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.1928
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,qwen3_1b7,-0.2211
