level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value,readout
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,llama2_70b,0.9212,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,llama2_70b,0.833,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,llama2_70b,0.9002,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,llama2_70b,0.8041,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,llama2_70b,0.9078,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,llama2_70b,0.8601,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,llama2_70b,0.8787,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,llama2_70b,0.8212,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,llama2_70b,0.8719,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,llama2_70b,0.7566,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,llama2_70b,0.8417,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,llama2_70b,0.6986,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.9009,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,gpt_oss_120b,0.8026,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.895,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,gpt_oss_120b,0.7941,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.8291,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,gpt_oss_120b,0.7392,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.8347,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,gpt_oss_120b,0.7611,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.7219,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,gpt_oss_120b,0.5096,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,gpt_oss_120b,0.7216,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,gpt_oss_120b,0.5044,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,llama2_13b,0.8996,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,llama2_13b,0.8025,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,llama2_13b,0.8927,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,llama2_13b,0.7894,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,llama2_13b,0.8549,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,llama2_13b,0.7802,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,llama2_13b,0.8442,ridge
