method,world_place,us_place,nyc_place,historical_figure,art,headline
llama2_70b,0.905,0.846,0.363,0.833,0.86,0.757
llama2_13b,0.883,0.808,0.272,0.802,0.78,0.663
llama2_7b,0.859,0.788,0.249,0.784,0.77,0.592
qwen3_32b,0.838,0.702,0.187,0.806,0.727,0.605
qwen3_8b,0.797,0.634,0.117,0.774,0.658,0.557
qwen3_1b7,0.655,0.45,0.08,0.693,0.449,0.476
umt5_base,0.438,0.325,0.133,0.494,0.153,0.349
thalesian_cunei400m,0.399,0.344,0.114,0.46,0.126,0.343
thalesian_akk300m,0.381,0.312,0.12,0.448,0.123,0.3
llama2_13b_random,0.282,0.29,0.044,0.284,0.038,0.267
llama2_7b_random,0.298,0.297,0.07,0.281,0.046,0.26
random,0.327,0.379,0.059,0.276,0.055,0.196
tfidf,0.642,0.536,0.389,0.645,0.116,0.448
