method,world_place,us_place,nyc_place,historical_figure,art,headline
llama2_13b,0.931,0.881,0.538,0.9,0.855,0.816
llama2_7b,0.922,0.862,0.515,0.885,0.843,0.777
qwen3_32b,0.891,0.808,0.443,0.892,0.815,0.781
qwen3_8b,0.872,0.748,0.35,0.873,0.771,0.751
qwen3_1b7,0.766,0.583,0.256,0.817,0.633,0.697
umt5_base,0.593,0.475,0.42,0.698,0.359,0.602
thalesian_cunei400m,0.562,0.481,0.373,0.674,0.326,0.594
thalesian_akk300m,0.573,0.453,0.382,0.67,0.313,0.553
llama2_13b_random,0.409,0.423,0.257,0.509,0.179,0.526
llama2_7b_random,0.396,0.426,0.269,0.513,0.185,0.512
random,0.415,0.515,0.236,0.504,0.202,0.442
tfidf,0.747,0.677,0.619,0.798,0.318,0.676
